BK136,砂土,新生界第四系,0,10.500,土黄色，松散，主要由风成砂土、坡积砂土组成，顶部为腐殖土，含现 代植物根系，底部含砾。
BK136,砂质泥岩,,10.5,16.000,灰绿色，泥质结构，块状构造，砂多以粉砂为主，分布不均一，断口参 差状，松软，易软化
BK136,砂砾岩,,16,30.000,"灰绿色，松散，砾多以英岩砾，火成岩砾组成，砾径10-30mm,大者可达5 0mm,多呈次圆状，分选差，泥质胶结。"
BK136,细粒砂岩,,30,32.500,灰绿色，细粒砂状结构，厚层状构造，成分以石英为主，长石次之，云 母及暗色矿物少量，分选差，泥质胶结，均匀层理，半坚硬。
BK136,粉砂岩,,32.5,39.500,灰绿色，粉砂状结构，厚层状构造，泥质胶结，均匀层理，夹细砂岩薄 层，松软。
BK136,泥岩,,39.5,41.600,灰色，微显绿色，泥质结构，块状构造，断口参差状，风化后呈碎块状 ，松软。
BK136,砂砾岩,上白垩统,41.6,44.400,"灰绿色，松散，砂多以细砂为主，砾多以英岩砾，火成岩砾组成，砾径1 0-30mm,多呈次圆状，分选中等，泥质胶结。"
BK136,泥岩,,44.4,55.500,灰色，泥质结构，块状构造，断口参差状，风化后呈碎块状，局部含粉 砂，松软。
BK136,细粒砂岩,,55.5,57.070,灰白色，细粒砂状结构，块状构造，成分以石英为主，长石次之，云母 及暗色矿物少量，分选差，泥质胶结，均匀层理，半坚硬
BK136,泥岩,,57.07,59.780,灰色，深灰色，泥质结构，块状构造，断口平坦状，含少量炭化植物碎 屑和茎叶化石，松软。
BK136,煤,5煤,59.78,60.260,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，含少量黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸4层 ，半坚硬。
BK136,泥岩,5煤,60.26,60.470,灰色，深灰色，泥质结构，块状构造，断口平坦状，含少量炭化植物碎 屑和茎叶化石，松软。
