BK139,砂砾石,,0,0.610,  主为黄色，土黄色，主要成分砂土，亚砂土构成，下部有大量角砾石，疏松。
BK139,粗砂岩,新生界第四系,0.61,4.540,  杂色，砾石成分，主要分石英岩，变质岩等，分选差，次圆状，及次棱角状，最大砾径47mm，松散，未胶结。
BK139,含砾泥岩,,4.54,13.420,  灰绿色，半胶结状，遇水泥化变软，脱水后易风化呈泥裂特征。层见少量砾石，砾石为火山岩砾，砾石呈次圆状，磨圆较差，砾径0.5-2cm。
BK139,细砂岩,,13.42,14.800,  杂色，细粒砂质结构，层状，成分石英、长石为主，次圆状，分选好，松散，胶结程度低。偶见火山岩砾。
BK139,泥岩,,14.8,24.460,  灰色，层状，含炭屑，参差状断口，含少量长石细砾，偶见黄铁矿结晶，半坚硬。
BK139,砾岩,,24.46,34.730,  灰色，块状，基底式胶结，泥质胶结，砾石为火山碎屑岩砾，砾石呈棱角状，磨圆差，砾径3-8mm，半坚硬。
BK139,泥岩,,34.73,42.650,  深灰色，层状，含炭屑，见滑面构造，参差状断口，偶见黄铁矿结晶，半坚硬。
BK139,砂质泥岩,,42.65,43.850,  深灰色，层状，砂质均匀，含炭屑，参差状断口，偶见黄铁矿结晶，半坚硬。
BK139,含砾细粒砂岩,,43.85,47.310,  灰色，块状，成分石英、长石为主，泥质胶结，砾石为火山碎屑岩砾，砾石呈棱角状，磨圆差，砾径3-8mm，半坚硬。
BK139,砂质泥岩,,47.31,53.680,  深灰色，层状，砂质均匀，含炭屑，参差状断口，偶见黄铁矿结晶，半坚硬。
BK139,细砂岩,,53.68,56.790,  灰白色，细粒砂状结构，块状，成份石英长石为主，含少许暗色矿物，次圆状，分选好，泥质胶结，半坚硬。
BK139,粉砂岩,,56.79,67.930,  深灰色，层状构造，泥质，砂质均匀，较致密，含碳屑，平坦状断口，半坚硬。
BK139,泥岩,,67.93,80.420,  深灰色，层状，细腻，含岩屑，局部具滑面，平坦状断口，半坚硬。
BK139,炭质泥岩,,80.42,81.200,  灰黑色，层状，含较多炭屑，平坦状断口，半坚硬。
BK139,煤,5煤,81.2,81.930,  黑色，块状，暗煤为主，弱沥青光泽，条痕褐色，煤岩类型，半暗型，水平层理。断口呈平坦状、贝壳状，见植物茎化石。半坚硬。该层煤煤质于86.88米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高；标志层以下煤质较好，未见风氧化特征。
BK139,泥岩,5煤,81.93,82.250,  深灰色，层状，细腻，含岩屑，局部具滑面，平坦状断口，半坚硬。
BK139,煤,5煤,82.25,86.330,  黑色，块状，暗煤为主，弱沥青光泽，条痕褐色，煤岩类型，半暗型，水平层理。断口呈平坦状、贝壳状，见植物茎化石。半坚硬。该层煤煤质于86.88米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高；标志层以下煤质较好，未见风氧化特征。
BK139,炭质泥岩,5煤,86.33,86.800,  灰黑色，层状，含较多炭屑，平坦状断口，半坚硬。
BK139,煤,5煤,86.8,95.200,  黑色，块状，暗煤为主，弱沥青光泽，条痕褐色，煤岩类型，半暗型，水平层理。断口呈平坦状、贝壳状，见植物茎化石。半坚硬。该层煤煤质于86.88米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高；标志层以下煤质较好，未见风氧化特征。
BK139,泥岩,,95.2,97.100,  深灰色，厚层状含炭屑，水平层理，断口平坦状，半坚硬。
BK139,粉砂岩,,97.1,98.600,  深灰色，层状构造，泥质，含碳屑，平坦状断口，半坚硬。
BK139,粗砂岩,,98.6,103.450,  灰白色，粗粒砂状结构，块状，成份石英长石为主，含少许暗色矿物，次圆状，分选好，泥质胶结，松散。
BK139,泥岩,,103.45,106.360,  深灰色，厚层状，细腻，致密，含炭屑，水平层理断口平坦状，半坚硬
BK139,细砂岩,,106.36,107.400,  灰白色，细粒砂状结构，块状，成份石英长石为主，含少许暗色矿物，泥质胶结，半坚硬。
