BK140,含砾泥岩,上白垩统,0,22.320,灰绿色，泥质结构，块状，断口不规状，砾多以石英岩砾，火成岩砾为 主，砾径2-10mm，大者可达30mm，多呈次棱角状，分选差，胶结差，易碎
BK140,砂质泥岩,,22.32,47.400,深灰色，泥质结构，块状构造，断口平坦状，砂多以粉砂为主，分布不 均一，固结程度差，松软，风化后成碎块状。
BK140,细粒砂岩,,47.4,50.690,灰白色，细砂状结构，厚层状构造，成分以石英为主，长石次之，云母 少量，分选差，泥质胶结，胶结差，均匀层理，疏松，易碎
BK140,泥岩,,50.69,62.970,深灰色，黑灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，固 结程度差，松软。
BK140,煤,5煤,62.97,63.810,黑褐色，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕， 断口平坦状，污手，属暗淡型煤，半坚硬，
BK140,泥岩,5煤,63.81,64.350,深灰色，黑灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，固 结程度差，松软。
BK140,煤,5煤,64.35,64.740,黑褐色，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕， 断口平坦状，污手，属暗淡型煤，半坚硬，
BK140,泥岩,5煤,64.74,64.950,深灰色，黑灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，固 结程度差，松软。
BK140,煤,5煤,64.95,66.050,黑褐色，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕， 断口平坦状，污手，属暗淡型煤，半坚硬，
BK140,泥岩,5煤,66.05,66.350,深灰色，黑灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，固 结程度差，松软。
BK140,煤,5煤,66.35,66.600,黑褐色，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕， 断口平坦状，污手，属暗淡型煤，半坚硬，
BK140,泥岩,5煤,66.6,66.940,深灰色，黑灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，固 结程度差，松软。
BK140,煤,5煤,66.94,68.470,黑褐色，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕， 断口平坦状，污手，属暗淡型煤，半坚硬，
BK140,泥岩,5煤,68.47,69.050,深灰色，黑灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，固 结程度差，松软。
BK140,煤,5煤,69.05,70.610,黑褐色，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕， 断口平坦状，污手，属暗淡型煤，半坚硬，
BK140,泥岩,5煤,70.61,70.880,深灰色，黑灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，固 结程度差，松软。
BK140,煤,5煤,70.88,71.190,黑褐色，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕， 断口平坦状，污手，属暗淡型煤，半坚硬，
BK140,泥岩,5煤,71.19,71.440,深灰色，黑灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，固 结程度差，松软。
BK140,煤,5煤,71.44,73.720,黑褐色，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕， 断口平坦状，污手，属暗淡型煤，半坚硬，
BK140,泥岩,5煤,73.72,74.150,深灰色，黑灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，固 结程度差，松软。
BK140,煤,5煤,74.15,74.430,黑褐色，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕， 断口平坦状，污手，属暗淡型煤，半坚硬，
BK140,炭质泥岩,5煤,74.43,74.660,深灰色，深灰色，泥质结构。块状构造。成分以泥质碎屑为主，含炭质 及少量炭屑，松软，易破碎。
BK140,煤,5煤,74.66,77.060,黑褐色，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕， 断口平坦状，污手，属暗淡型煤，半坚硬，
BK140,砂质泥岩,,77.06,78.660,灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，夹细砂岩薄层 ，局部裂隙发育。
BK140,煤,,78.66,79.160,黑褐色，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕， 断口平坦状，污手，属暗淡型煤，半坚硬，
BK140,砂质泥岩,,79.16,88.140,灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，夹细砂岩薄层 ，局部裂隙发育。
BK140,细粒砂岩,,88.14,89.000,灰白色，细砂状结构，厚层状构造，成分以石英为主，长石次之，云母 及暗色矿物少量，分选差，泥质胶结，均匀层理，疏松，易碎。
BK140,泥岩,,89,91.760,黑灰色，泥质结构，块状构造，断口平坦状，含炭屑，松软，风化易碎
BK140,煤,5下煤,91.76,92.490,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，属暗淡型煤，其中有泥岩夹矸2层，炭质泥岩夹矸1层
BK140,泥岩,5下煤,92.49,92.850,灰色，黑灰色，泥质结构，块状构造，断口平坦状，含少量炭屑及茎叶 化石，风化后呈碎块状。
BK140,煤,5下煤,92.85,93.350,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，属暗淡型煤，其中有泥岩夹矸2层，炭质泥岩夹矸1层
BK140,炭质泥岩,5下煤,93.35,93.570,深灰色，深灰色，泥质结构。块状构造。成分以泥质碎屑为主，含炭质 及少量炭屑，松软，易破碎。
