BK142,砂砾石,新生界第四系,0,0.740,主为黄色，土黄色，主要成分砂土，亚砂土构成，下部有大量角砾石， 疏松。
BK142,砂砾岩,,0.74,5.730,杂色，砾石成分，主要分石英岩，变质岩等，分选差，次圆状，及次棱 角状，最大砾径47mm，松散，未胶结。
BK142,含砾泥岩,,5.73,15.300,灰绿色，半胶结状，遇水泥化变软，脱水后易风化呈泥裂特征。层见少 量砾石，砾石为火山岩砾，砾石呈次圆状，磨圆较差，砾径0.5-2cm。
BK142,细砂岩,,15.3,16.700,灰色，细粒砂质结构，层状，成分石英、长石为主，次圆状，分选好， 松散，胶结程度低。偶见火山岩砾
BK142,泥岩,,16.7,25.800,灰色，层状，含炭屑，参差状断口，含少量长石细砾，偶见黄铁矿结晶 ，半坚硬。
BK142,砾岩,,25.8,38.200,灰色，块状，基底式胶结，泥质胶结，砾石为火山碎屑岩砾，砾石呈棱 角状，磨圆差，砾径3-8mm，半坚硬。
BK142,泥岩,,38.2,46.400,深灰色，层状，含炭屑，见滑面构造，参差状断口，半坚硬
BK142,砂质泥岩,,46.4,47.000,灰色，块状，砂质均匀，参差状断口，半坚硬
BK142,含砾细粒砂岩,,47,50.500,灰色，细粒砂状结构，层状，成分石英、长石为主，含少许细砾石，次 圆状，分选中等，泥质胶结，半坚硬。
BK142,砂质泥岩,,50.5,58.100,深灰色，层状，砂质均匀，含炭屑，参差状断口，半坚硬。
BK142,细砂岩,,58.1,60.800,灰色，细粒砂状结构，层状，成分石英、长石为主，含少许细砾石，次 圆状，分选中等，泥质胶结，夹钙质粉砂岩薄层，半坚硬。
BK142,泥岩,,60.8,67.850,深灰色，层状，含岩屑，局部具滑面，平坦状断口，半坚硬。
BK142,煤,5煤,67.85,68.500,黑色，块状，暗煤为主，弱沥青光泽，条痕黑褐色，暗淡型，平行层理 。断口呈平坦状，半坚硬。该层煤煤质于70.01米处标志层为界限，以上煤 质较差，煤层风氧化特征明显，泥质含量较高；标志层以下煤质较好，未 见风氧化特征。
BK142,炭质泥岩,5煤,68.5,68.700,灰黑色，层状，含较多炭屑，平坦状断口，半坚硬。
BK142,煤,5煤,68.7,68.950,黑色，块状，暗煤为主，弱沥青光泽，条痕黑褐色，暗淡型，平行层理 。断口呈平坦状，半坚硬。该层煤煤质于70.01米处标志层为界限，以上煤 质较差，煤层风氧化特征明显，泥质含量较高；标志层以下煤质较好，未 见风氧化特征。
BK142,泥岩,5煤,68.95,70.070,深灰色，厚层状，块状，含炭屑，平行层理，断口平坦状，半坚硬。
BK142,煤,5煤,70.07,71.170,黑色，块状，暗煤为主，弱沥青光泽，条痕黑褐色，暗淡型，平行层理 。断口呈平坦状，半坚硬。该层煤煤质于70.01米处标志层为界限，以上煤 质较差，煤层风氧化特征明显，泥质含量较高；标志层以下煤质较好，未 见风氧化特征。
BK142,炭质泥岩,5煤,71.17,72.050,灰黑色，层状，含较多炭屑，平坦状断口，半坚硬。
BK142,煤,5煤,72.05,83.650,黑色，块状，暗煤为主，弱沥青光泽，条痕黑褐色，暗淡型，平行层理 。断口呈平坦状，半坚硬。该层煤煤质于70.01米处标志层为界限，以上煤 质较差，煤层风氧化特征明显，泥质含量较高；标志层以下煤质较好，未 见风氧化特征。
BK142,泥岩,,83.65,89.200,深灰色，厚层状，致密，含炭屑，平行层理，见少量黄铁矿结核断口平 坦状，半坚硬。
BK142,粉砂岩,,89.2,90.600,深灰色，层状构造，泥质，较致密，含碳屑，平坦状断口，半坚硬
BK142,粗砂岩,,90.6,94.400,灰白色，粗粒砂状结构，块状，成份石英长石为主，含少许暗色矿物， 次圆状，分选好，泥质胶结，半坚硬。
BK142,泥岩,,94.4,98.800,深灰色，厚层状，块状，含炭屑，平行层理，断口平坦状，半坚硬。
BK142,细砂岩,,98.8,101.740,灰白色，细粒砂状结构，块状，成份石英长石为主，含少许暗色矿物， 次圆状，分选好，泥质胶结，半坚硬。
BK142,炭质泥岩,,101.74,102.000,灰黑色，层状，含较多炭屑，平坦状断口，半坚硬。
BK142,泥岩,,102,102.580,深灰色，厚层状，致密，含炭屑，平行层理，断口平坦状，半坚硬。
BK142,炭质泥岩,,102.58,103.190,灰黑色，层状，含较多炭屑，平坦状断口，半坚硬。
BK142,泥岩,,103.19,104.570,深灰色，厚层状，致密，含炭屑，平行层理，断口平坦状，半坚硬。
