BK143,砂土,,0,3.000,  土黄色，松散，主要由风成砂土、坡积砂土组成，顶部富含现代植物根系，底部含砾。
BK143,砂砾岩,新生界第四系,3,9.000,"  土黄色，松散，主要由石英岩砾，火成岩砾组成，砾径2-30mm,多呈次棱角状，分选差。"
BK143,含砾泥岩,,9,17.600,"  灰绿色，泥质结构，块状构造，断口参差状，松软，砾多以英岩砾，火成岩砾组成，砾径10-30mm,大者可达40mm,多呈次圆状，分选差，含量约30%左右。"
BK143,泥岩,,17.6,22.200,  黑灰色，泥质结构，块状构造，松软，断口参差状。
BK143,砂砾岩,,22.2,34.800,"  灰绿色，松散，砂多以中砂为主，含量约20%左右，砾多以英岩砾，火成岩砾组成，砾径10-30mm,多呈次圆状，泥质胶结。"
BK143,泥岩,,34.8,38.300,  深灰色，泥质结构，块状构造，断口平坦状，细腻均一。
BK143,砂砾岩,,38.3,45.500,"  灰绿色，松散，砂多以中砂为主，砾多以英岩砾，火成岩砾组成，砾径2-20mm,多呈次圆状，分选差，泥质胶结。"
BK143,泥岩,,45.5,57.600,  灰色-深灰色，泥质结构，块状构造，断口平坦状，风化后呈碎块状，局部含少量炭化植物碎屑及粉砂。
BK143,细粒砂岩,上白垩统,57.6,59.400,  浅灰色，细粒砂状结构，厚层状构造，成分以石英为主，长石次之，分选差，泥质胶结，均匀层理。
BK143,粉砂岩,,59.4,61.500,  灰色，粉砂状结构，块状构造，泥质胶结，均匀层理。
BK143,泥岩,,61.5,77.620,  灰色-黑灰色，泥质结构，块状构造，断口参差状，含少量炭化植物碎屑及粉砂。
BK143,煤,5煤,77.62,78.950,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸2层，炭质泥岩夹矸6层。
BK143,泥岩,5煤,78.95,79.670,  深灰色，灰色，泥质结构，块状构造，断口平坦状，风化易碎，，含少量炭化植物碎屑及茎叶化石。
BK143,煤,5煤,79.67,81.570,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸2层，炭质泥岩夹矸6层。
BK143,炭质泥岩,5煤,81.57,82.320,灰黑色，层状，含较多炭屑，平坦状断口，半坚硬
