BK148,砂土,新生界第四系,0,3.400,"土黄色，松散，主要由风成砂土，坡积砂土组成,顶部富含现代植物根系 ，底部含砾。"
BK148,砂砾岩,,3.4,11.300,"土黄色，松散，砾多以英岩砾，火成岩砾组成，砾径2-10mm,多呈次棱角 状，分选差。"
BK148,含砾泥岩,,11.3,22.600,"灰绿色，泥质结构，块状构造，断口不规则状，砾多以英岩砾，火成岩 砾组成，砾径10-20mm,多呈次圆状，分选差"
BK148,砂质泥岩,,22.6,28.300,灰绿色，泥质结构，块状构造，断口不规则状，砂多以粉砂为主，分布 不均一，固结程度差，松软。
BK148,含砾泥岩,,28.3,43.500,"灰绿色，泥质结构，块状构造，断口不规则状，砾多以英岩砾，火成岩 砾组成，砾径10-30mm,多呈次棱角状，分选差，砾含量约20%。"
BK148,砂质泥岩,,43.5,57.800,灰绿色，泥质结构，块状构造，断口不规则状，砂多以粉砂为主，分布 不均一，固结程度差，松软
BK148,含砾泥岩,上白垩统,57.8,64.840,"灰绿色，泥质结构，块状构造，断口不规则状，砾多以英岩砾，火成岩 砾组成，砾径10-30mm,多呈次棱角状，分选差，砾含量约20%"
BK148,粉砂岩,,64.84,72.200,灰色，粉砂状结构，厚层状构造，泥质胶结，均匀层理，局部泥质含量 较高。
BK148,泥岩,,72.2,83.680,深灰色，泥质结构，块状构造，断口平坦状，含少量炭屑。
BK148,煤,1煤,83.68,84.300,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，污手，属暗淡型煤。其中有泥岩夹矸1层。
BK148,泥岩,1煤,84.3,84.700,深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化 石，夹粉砂岩薄层。
BK148,煤,1煤,84.7,85.550,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，污手，属暗淡型煤。
BK148,泥岩,,85.55,89.090,深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化 石，夹煤薄层。
BK148,煤,,89.09,90.060,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，污手，属暗淡型煤。其中有泥岩夹矸10层，炭质泥岩 夹矸1层。
BK148,泥岩,,90.06,90.970,深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化 石，夹煤薄层。
BK148,煤,,90.97,91.400,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，污手，属暗淡型煤。其中有泥岩夹矸10层，炭质泥岩 夹矸1层。
BK148,泥岩,,91.4,94.100,深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化 石，夹煤薄层。
BK148,煤,5煤,94.1,96.390,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，污手，属暗淡型煤。其中有泥岩夹矸10层，炭质泥岩 夹矸1层。
BK148,泥岩,5煤,96.39,96.630,深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化 石，夹煤薄层。
BK148,炭质泥岩,5煤,96.63,97.050,  灰黑色，块状，含炭屑，夹煤线，污手，易碎。
BK148,泥岩,5煤,97.05,97.360,深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化 石，夹煤薄层。
BK148,煤,5煤,97.36,98.660,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，污手，属暗淡型煤。其中有泥岩夹矸10层，炭质泥岩 夹矸1层。
BK148,泥岩,5煤,98.66,98.980,深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化 石，夹煤薄层。
