BK176,砂土,新生界第四系,15.000,15.000,  土黄色，松散，主要由风成砂土、坡积砂土组成，顶部富含现代植物根系，底部含砾。,BK153,表土和积土层,新生界第四系,6.750,6.750,  浅黄色，松散，含大量细砂，见少许植物根系,BK147,砂土,,7.500,7.500,  土黄色，松散，主要由风成砂土、坡积砂土组成，顶部为腐殖土，富含现代植物根系，底部含砾。,BK128,砂土,新生界第四系,5.600,5.600,  土黄色，松散，主要由风成砂土、坡积砂土组成，顶部富含现代植物根系，底部含砾。,BK122,粉砂岩,,9.400,9.400,  灰绿色，粉砂状结构，见少量砾石，砾石为火山岩砾，呈次圆状，易碎，参差状断口。
BK176,含砾泥岩,,19.570,4.570,"  灰绿色，泥质结构，块状构造，断口参差状，松软，砾多以英岩砾，火成岩砾组成，砾径10-30mm,多呈次圆状，分选差，含量约30%左右。",BK153,细砂,新近系,13.800,7.050,  浅黄色，松散，成份以石英，长石为主，胶结差，泥质胶结。,BK147,砂砾岩,新生界第四系,13.200,5.700,"  土黄色，松散，主要由石英岩砾，火成岩砾组成，砾径10-20mm,大者可达30mm,多呈次圆状，分选差。",BK128,粉砂岩,,14.000,8.400,  深灰色，微显绿色，粉砂状结构，块状构造，泥质胶结，均匀层理，松软，易碎。,BK122,中砾岩,,11.600,2.200,  灰色为主，块状构造，成份以变质岩砾为主，基底式胶结，胶结差，最大砾径为2CM，分选差，次圆状，松散
BK176,砂质泥岩,,27.200,7.630,  灰绿色，泥质结构，块状构造，砂多以粉砂为主，分布不均一，松软，风化后呈碎块状。,BK153,粉砂岩,,19.570,5.770,  灰绿色，粉砂状结构，见少量砾石，砾石为火山岩砾，呈次圆状，易碎，参差状断口。,BK147,含砾泥岩,,19.570,6.370,"  灰色，微显绿色，泥质结构，块状构造，砾多以英岩砾，火成岩砾组成，砾径2-15mm,大者可达40mm,多呈次圆状，含量约20%左右,岩芯较破碎。",BK128,含砾泥岩,,37.200,23.200,"  灰绿色，泥质结构，块状构造，断口参差状，松软，砾多以英岩砾，火成岩砾组成，砾径10-30mm,多呈次圆状，分选差，含量约30%左右。",BK122,粉砂岩,,22.370,10.770,  灰绿色，粉砂质结构，夹中砂岩薄层，见擦痕。
BK176,含砾泥岩,,39.000,11.800,"  灰绿色，泥质结构，块状构造，断口参差状，松软，砾多以英岩砾，火成岩砾组成，砾径10-30mm,多呈次圆状，分选差，含量约20%左右。",BK153,细粒砂岩,,24.400,4.830,  灰绿色，块状，细粒砂状结构，成份以石英，长石为主，泥质胶结，胶结好。,BK147,砂砾岩,,30.200,10.630,"  灰绿色，松散，砂多以细砂为主，砾多以英岩砾，火成岩砾组成，砾径2-20mm,多呈次棱角状，分选差，泥质胶结。",BK128,砂质泥岩,,43.330,6.130,  灰绿色，泥质结构，块状构造，砂多以粉砂为主，分布不均一，松软，风化后呈碎块状。,BK122,中砾岩,,23.600,1.230,  灰色为主，松散，中砾砂状结构，砾石成份以变质岩砾为主，基底式胶结，胶结差，最大砾径为2CM，分选差，次圆状。
BK176,粉砂岩,,52.810,13.810,  灰色，微显绿色，粉砂状结构，块状构造，泥质胶结，均匀层理，风化易碎。,BK153,泥岩,,43.330,18.930,  灰绿色，块状，泥质胶结，泥质结构，参差状断口。,BK147,泥岩,,40.300,10.100,  灰绿色，泥质结构，块状构造，断口参差状，风化易碎。,BK128,粉砂岩,,47.800,4.470,  灰色，微显绿色，粉砂状结构，块状构造，泥质胶结，均匀层理，风化易碎。,BK122,粉砂岩,,25.300,1.700,  灰绿色，粉砂状结构，夹砂岩薄层，参差状断口
BK176,砂砾岩,上白垩统,55.300,2.490,"  灰绿色，松散，砂多以中砂为主，砾多以英岩砾，火成岩砾组成，砾径2-20mm,多呈次圆状，分选差，泥质胶结。",BK153,细粒砂岩,,52.530,9.200,  灰绿色，块状，细粒砂状结构，成份以石英，长石为主，泥质胶结，胶结好。,BK147,粉砂岩,上白垩统,45.000,4.700,  灰色，微显绿色，粉砂状结构，厚层状构造，泥质胶结，均匀层理，局部含砾。,BK128,砂砾岩,上白垩统,53.500,5.700,"  灰绿色，松散，砂多以中砂为主，砾多以英岩砾，火成岩砾组成，砾径2-20mm,多呈次圆状，分选差，泥质胶结。",BK122,中砾岩,,28.900,3.600,  灰色为主，松散，中砾砂状结构，砾石成份以变质岩砾为主，基底式胶结，胶结差，最大砾径为2CM，分选差。
BK176,粉砂岩,,62.130,6.830,  灰色，粉砂状结构，厚层状构造，泥质胶结，均匀层理，和少量炭化植物碎屑。,BK153,泥岩,,63.950,11.420,  灰黑色，块状，泥质结构，见煤线，易碎，平坦状断口。,BK147,泥岩,,54.500,9.500,  灰色，泥质结构，块状构造，断口平坦状，局部含少量炭化植物碎屑，夹粉砂岩薄层。,BK128,泥岩,,81.060,27.560,  灰色-深灰色，泥质结构，块状构造，断口平坦状，风化后呈碎块状，局部含少量炭化植物碎屑及煤线。,BK122,粉砂岩,,33.800,4.900,  灰绿色，粉砂状结构，局部见裂隙，无充填，参差状断口。
BK176,泥岩,,77.450,15.320,  灰色，深灰色，泥质结构，块状构造，断口平坦状，风化后呈碎块状，含少量炭化植物碎屑。,BK153,煤,5煤,64.370,0.420,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于84.35米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，,BK147,含砾泥岩,,56.000,1.500,"  灰色，泥质结构，块状构造，断口参差状，砾多以英岩砾，火成岩砾组成，砾径2-10mm,多呈次圆状，分选差，含量约15%左右。",BK128,煤,,81.270,0.210,  黑色，块状，暗淡型。,BK122,中砾岩,,35.200,1.400,  灰色为主，块状构造，中砾砂状结构，砾石成份以变质岩砾为主，基底式胶结，胶结差，分选差，次圆状。
BK176,煤,5煤,78.050,0.600,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸3层。,BK153,泥岩,5煤,65.000,0.630,  灰黑色，块状，泥质结构，见煤线，易碎，平坦状断口。,BK147,泥岩,,78.500,22.500,  深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化石，夹粉砂岩薄层。,BK128,泥岩,,82.130,0.860,  黑灰色，泥质结构，块状构造，断口平坦状，含炭屑，夹煤薄层。,BK122,泥岩,,45.830,10.630,  灰绿色，泥质结构，细腻，松散，见大量受挤压无规则滑面构造，见砾岩薄层。
BK176,炭质泥岩,5煤,78.500,0.450,"碳质泥岩:亮黑色,泥质结构,薄层状构造,岩性较脆,易破碎,污手,有轻微 滑腻感",BK153,煤,5煤,65.470,0.470,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于84.35米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，,BK147,煤,,78.800,0.300,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，属暗淡型煤，其中有炭质泥岩夹矸5层，泥岩夹矸2层,BK128,煤,,82.500,0.370,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸3层。,BK122,粉砂岩,,54.100,8.270,  灰色，粉砂状结构，见炭屑，夹菱铁矿薄层，见擦痕，具裂隙，无充填
BK176,煤,5煤,81.690,3.190,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸3层。,BK153,泥岩,5煤,66.320,0.850,  灰黑色，块状，泥质结构，见煤线，易碎，平坦状断口。,BK147,泥岩,,79.250,0.450,  深灰色，泥质结构，块状构造，断口平坦状，含炭屑，风化易碎。,BK128,泥岩,,83.080,0.580,  深灰色，泥质结构，块状构造，断口平坦状，风化易碎，含少量炭化植物碎屑及茎叶化石。,BK122,中粒砂岩,,55.200,1.100,  灰绿色，中粒砂状结构，成份以石英，长石为主，分选中等，泥质胶结，胶结一般，参差状断口。
