BK211,填筑土,新生界第四系,32.000,32.000,  土黄色，灰色，灰黑色，主要由砂土，泥岩，砂砾岩堆积而成。,BK203,填筑土,新生界第四系,32.500,32.500,  土黄色，灰色，灰黑色，松散，主要由砂土，砂砾岩，泥岩粉砂岩及煤矸石堆积而成。,BK190,砂土,,3.000,3.000,  土黄色，松散，主要由风成砂土、坡积砂土组成，顶部富含现代植物根系，底部含砾。,BK184,砂土,,8.400,8.400,  黄色，松散，主要由砂，碎石组成。含有现代植物根系，含少量粘土。,BK168,砂土,,0.500,0.500,  黄色，主要成分砂土，细砂及植物根系，松软未胶结。,BK161,砂土,,0.400,0.400,  黄色，主要成分砂土，含粗砂及植物根系，松软未胶结。,BK139,砂砾石,,0.610,0.610,  主为黄色，土黄色，主要成分砂土，亚砂土构成，下部有大量角砾石，疏松。,109,砂土,新生界第四系,10.000,10.000,BK114,泥岩,,7.200,7.200,  灰绿色，泥质结构，遇水泥化变软，脱水后易风化泥裂。层见少量砾石，砾石为火山岩砾。砾石呈次圆状，砾径0.5-2cm，泥质胶结。
BK211,含砾泥岩,上白垩统,49.000,17.000,"  灰绿色，泥质结构，块状构造，断口不规则状，砾多以英岩砾，火成岩砾组成，砾径2-10mm,大者可达30mm,多呈次圆状，分选差，砾含量约15%左右。",BK203,含砾泥岩,,46.500,14.000,  灰绿色，泥质结构，块状构造，断口不规则状，砾多以石英岩砾，火成岩砾为主，砾径2-10mm，大者可达30mm，多呈次圆状，分选差，含量约10%左右。,BK190,砂砾岩,新生界第四系,10.000,7.000,"  土黄色，松散，主要由石英岩砾，火成岩砾组成，砾径2-10mm，大者可达30mm,多呈次棱角状，分选差。",BK184,粗砂,新生界第四系,20.880,12.480,  灰绿色。粒径不均匀，主要成分以长石，石英组成。松散。含少量粘土,BK168,细砂,,9.600,9.100,  黄褐色，含砾岩，成分以石英砾为主，泥质成分较高，底部见粗砂，含水锈氧化物，松软，未胶结。,BK161,粗砂,新生界第四系,13.800,13.400,  黄褐色，含泥质成分较高，成分以石英砾为主，含石英砾，呈次棱角状，含水锈氧化物，松软，未胶结。,BK139,粗砂岩,新生界第四系,4.540,3.930,  杂色，砾石成分，主要分石英岩，变质岩等，分选差，次圆状，及次棱角状，最大砾径47mm，松散，未胶结。,109,砾岩,,14.760,4.760,BK114,细砂岩,,10.110,2.910,  杂色，细粒砂质结构，层状，偶见火山岩砾。成分石英、长石为主，含中细砾石，次圆状，分选好，松散，胶结程度低。
BK211,粉砂岩,,53.200,4.200,  灰色，粉砂状结构，厚层状，泥质胶结，均匀层理，松软，易碎。,BK203,泥岩,,53.000,6.500,  灰绿色，泥质结构，块状，断口不规则状，固结程度差，松软，局部含细砾。,BK190,含砾泥岩,,14.000,4.000,"  灰绿色，泥质结构，块状构造，断口不规则状，砾多以英岩砾，火成岩砾组成，砾径10-30mm,多呈次棱角状，分选差，松软，易碎。",BK184,含砾泥岩,,27.610,6.730,  灰黑色，砂砾状结构，块状构造，砂含量较高。砾石成分为石英。砾径一般2-30mm。分选差，分布不均一基底式胶结。胶结松散易碎。,BK168,中砂,新生界第四系,11.300,1.700,  灰绿色，上部泥质成分较高，含少量棱角状石英砾，石英砾为主，含水锈氧化物，松软，未胶结。,BK161,泥岩,,19.400,5.600,  灰绿色，块状构造，细腻，松软，含大小不等的石英砾，最大砾径50mm，呈次圆状，平坦状断口，中厚层状，成分以泥质碎屑为主。,BK139,含砾泥岩,,13.420,8.880,  灰绿色，半胶结状，遇水泥化变软，脱水后易风化呈泥裂特征。层见少量砾石，砾石为火山岩砾，砾石呈次圆状，磨圆较差，砾径0.5-2cm。,109,泥岩,,24.200,9.440,BK114,粗砂岩,,13.310,3.200,  灰白色，细粒砂状结构，块状，成分石英、长石为主，含少许细砾石，次圆状，分选中等，泥质胶结，夹钙质粉砂岩薄层。半坚硬。
BK211,泥岩,,70.750,17.550,  深灰色，泥质结构，块状构造，断口参差状，固结程度差，含炭屑少量，松软。,BK203,细粒砂岩,上白垩统,55.470,2.470,  灰色，微显绿色，细粒砂状结构，厚层状构造，成分以石英为主，长石次之，胶结差，均匀层理。,BK190,砂砾岩,,20.000,6.000,"  灰绿色，松散，砂多以细砂为主，砾多以英岩砾，火成岩砾为主，砾径2-10mm,大者可达30mm,多呈次圆状，分选差，泥质胶结，胶结差。",BK184,粉砂岩,,36.120,8.510,"  灰绿色、粉砂状结构,巨厚层状、岩质细腻，泥质胶结。",BK168,砾岩,,20.900,9.600,  灰绿色，主要成分石英砾，最大砾径15mm，呈次圆状，磨圆差，分选差，块状结构，泥质填充，易破碎。,BK161,粗砂岩,,21.500,2.100,  灰绿色，粗粒砂状结构，分选差，局部含细砾，以石英为主，云母、长石次子，分选差，泥质胶结，松软，易破碎。,BK139,细砂岩,,14.800,1.380,  杂色，细粒砂质结构，层状，成分石英、长石为主，次圆状，分选好，松散，胶结程度低。偶见火山岩砾。,109,砾岩,,32.290,8.090,BK114,泥岩,,14.510,1.200,  灰绿色，层状构造，含粉砂，较致密，断口参差状，偶见碳屑。遇水泥化变软，脱水后易风化泥裂，见大量受挤压无规律滑面构造。夹钙质砂岩薄层。
BK211,煤,5煤,73.310,2.560,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸4层，炭质泥岩夹矸2层。,BK203,泥岩,,77.680,22.210,  深灰色，泥质结构，块状，断口参差状，固结程度差，局部含少量炭屑，夹粉砂岩薄层。,BK190,含砾泥岩,,31.000,11.000,"  灰绿色，泥质结构，块状构造，断口不规则状，砾多以英岩砾，火成岩砾为主，砾径2-10mm,多呈次圆状，分选差。",BK184,细砂岩,,37.820,1.700,  灰色，细粒砂状结构，厚层状，成分以石英、长石为主。分选中等，泥质胶结。,BK168,泥岩,,22.600,1.700,  灰黑色，泥质结构，块状构造，细腻，松软，平坦状断口，中厚层状，成分以泥质碎屑为主。,BK161,泥岩,,23.800,2.300,  灰黑色，泥质结构，块状构造，细腻，松软，平坦状断口，中厚层状，成分以泥质碎屑为主。,BK139,泥岩,,24.460,9.660,  灰色，层状，含炭屑，参差状断口，含少量长石细砾，偶见黄铁矿结晶，半坚硬。,109,砂砾岩,,39.440,7.150,BK114,粗砂岩,,15.710,1.200,  灰白色，细粒砂状结构，块状，成分石英、长石为主，含少许细砾石，次圆状，分选中等，泥质胶结，夹钙质粉砂岩薄层。半坚硬。
BK211,泥岩,5煤,73.600,0.290,  深灰色，泥质结构，块状构造，断口参差状，固结程度差，含炭屑少量，松软。,BK203,煤,5煤,78.510,0.830,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，断口平坦状，呈褐色条痕，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸7层。,BK190,砂质泥岩,,36.580,5.580,  灰色，泥质结构，块状构造，砂多以粉砂为主，分布不均一，断口参差状，风化易碎，松软。,BK184,泥岩,,46.170,8.350,  灰黑色、泥质结构，块状构造。岩质细腻较软，手掰易断，风化后易开裂，局部见灰黑色细砂岩薄层。,BK168,砾岩,,25.000,2.400,  灰色，主要成分石英砾，最大砾径60mm，磨圆较好，分选好，块状结构，易破碎，泥质填充，松散。,BK161,砾岩,,27.400,3.600,  灰绿色，主要成分石英砾，最大砾径20mm，呈次圆状，磨圆差，分选差，块状结构，泥质填充，松软，易破碎。,BK139,砾岩,,34.730,10.270,  灰色，块状，基底式胶结，泥质胶结，砾石为火山碎屑岩砾，砾石呈棱角状，磨圆差，砾径3-8mm，半坚硬。,109,泥岩,,67.810,28.370,BK114,泥岩,,19.110,3.400,  灰绿色，层状构造，含粉砂，较致密，断口参差状，偶见碳屑。遇水泥化变软，脱水后易风化泥裂，见大量受挤压无规律滑面构造。夹钙质砂岩薄层。
BK211,煤,5煤,74.200,0.600,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸4层，炭质泥岩夹矸2层。,BK203,泥岩,5煤,79.110,0.600,  深灰色，泥质结构，块状，断口参差状，固结程度差，局部含少量炭屑，夹粉砂岩薄层。,BK190,细粒砂岩,,38.200,1.620,  深灰色，细粒砂状结构，厚层状构造，成分以石英为主，长石次之，云母少量，分选差，泥质胶结，松软，易碎，均匀层理。,BK184,细砂岩,,47.370,1.200,  灰黑色，细粒砂状结构，厚层状，成分以石英、长石为主。分选中等，泥质胶结。,BK168,泥岩,,44.000,19.000,  灰绿色，泥质结构，含少量石英砾，厚层状构造。成分以泥质碎屑为主，断口平整，含炭质及少量炭屑，松软。,BK161,砂质泥岩,,48.800,21.400,  深灰色，泥质结构，砂以粗砂为主。水平层状，成分以泥质碎屑为主，松软，易破碎。,BK139,泥岩,,42.650,7.920,  深灰色，层状，含炭屑，见滑面构造，参差状断口，偶见黄铁矿结晶，半坚硬。,109,煤,,67.960,0.150,BK114,粗砂岩,,19.510,0.400,  灰白色，细粒砂状结构，块状，成分石英、长石为主，含少许细砾石，次圆状，分选中等，泥质胶结，夹钙质粉砂岩薄层。半坚硬。
BK211,泥岩,5煤,74.560,0.360,  深灰色，泥质结构，块状构造，断口参差状，固结程度差，含炭屑少量，松软。,BK203,煤,5煤,79.430,0.320,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，断口平坦状，呈褐色条痕，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸7层。,BK190,砂质泥岩,,55.080,16.880,  灰色，泥质结构，块状构造，砂多以粉砂为主，分布不均一，断口参差状，风化易碎，松软，夹粉砂岩薄层。,BK184,泥岩,,55.970,8.600,  灰黑色、泥质结构，块状构造。岩质较软，风化后易开裂。,BK168,砾岩,,49.500,5.500,  灰褐色，主要成分石英砾，块状构造，砾径3-4mm，呈次圆状，磨圆差，分选差，基底接触，易破碎。,BK161,砾岩,,54.900,6.100,  灰绿色，主要成分石英砾，块状构造，砾径5-20mm，呈次圆状，磨圆差，分选差，基底交接，泥质填充，块状结构，易破碎。,BK139,砂质泥岩,,43.850,1.200,  深灰色，层状，砂质均匀，含炭屑，参差状断口，偶见黄铁矿结晶，半坚硬。,109,泥岩,,68.140,0.180,BK114,泥岩,,20.710,1.200,  灰绿色，层状构造，含粉砂，较致密，断口参差状，偶见碳屑。遇水泥化变软，脱水后易风化泥裂，见大量受挤压无规律滑面构造。夹钙质砂岩薄层。
BK211,煤,5煤,74.880,0.320,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸4层，炭质泥岩夹矸2层。,BK203,泥岩,5煤,79.660,0.230,  深灰色，泥质结构，块状，断口参差状，固结程度差，局部含少量炭屑，夹粉砂岩薄层。,BK190,泥岩,上白垩统,57.640,2.560,  灰黑色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化石，松软。,BK184,粉砂岩,,59.950,3.980,"  灰绿色、粉砂状结构,巨厚层状、岩质细腻，半坚硬。",BK168,粉砂岩,,68.200,18.700,  深灰色，泥质结构，砂以粉砂为主。含少量石英砾，水平层状，成分以泥质碎屑为主，松软，易破碎。,BK161,粗砂岩,,56.100,1.200,  灰色，粗粒砂状结构，分选中等，局部含细砾，以石英砾为主，泥质胶结，松软，易破碎。,BK139,含砾细粒砂岩,,47.310,3.460,  灰色，块状，成分石英、长石为主，泥质胶结，砾石为火山碎屑岩砾，砾石呈棱角状，磨圆差，砾径3-8mm，半坚硬。,109,煤,,68.270,0.130,BK114,粗砂岩,,21.810,1.100,  灰白色，细粒砂状结构，块状，成分石英、长石为主，含少许细砾石，次圆状，分选中等，泥质胶结，夹钙质粉砂岩薄层。半坚硬。
BK211,泥岩,5煤,75.210,0.330,  深灰色，泥质结构，块状构造，断口参差状，固结程度差，含炭屑少量，松软。,BK203,煤,5煤,80.700,1.040,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，断口平坦状，呈褐色条痕，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸7层。,BK190,煤,5煤,58.640,1.000,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸10层,BK184,煤,5煤,62.450,2.500,  黑色，柱状、块状。棕褐色条痕、弱沥青光泽，以暗煤为主，亮煤次之夹镜煤条带。半暗型煤，断口平坦状-阶梯状。,BK168,泥岩,,77.170,8.970,  灰绿色，局部含粉砂质，泥质结构。厚层状构造。成分以泥质碎屑为主，断口平整，含炭质及少量炭屑，松软。,BK161,泥岩,,65.600,9.500,  深灰色，局部含粉砂质，泥质结构。厚层状构造。成分以泥质碎屑为主，断口平整，含炭质及少量炭屑，松软，易破碎。,BK139,砂质泥岩,,53.680,6.370,  深灰色，层状，砂质均匀，含炭屑，参差状断口，偶见黄铁矿结晶，半坚硬。,109,泥岩,,68.540,0.270,BK114,泥岩,,28.260,6.450,  灰绿色，层状构造，含粉砂，较致密，断口参差状，偶见碳屑。遇水泥化变软，脱水后易风化泥裂，见大量受挤压无规律滑面构造。夹钙质砂岩薄层。
BK211,煤,5煤,76.350,1.140,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸4层，炭质泥岩夹矸2层。,BK203,泥岩,5煤,81.150,0.450,  深灰色，泥质结构，块状，断口参差状，固结程度差，局部含少量炭屑，夹粉砂岩薄层。,BK190,泥岩,5煤,59.160,0.520,  灰黑色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化石，松软。,BK184,炭质泥岩,5煤,63.650,1.200,"亮黑色,泥质结构,薄层状构造,岩性较脆,易破碎,污手,有轻微 滑腻感",BK168,炭质泥岩,,78.290,1.120,  灰黑色，深灰色，泥质结构。块状构造。成分以泥质碎屑为主，含炭质及少量炭屑。,BK161,粉砂岩,,69.200,3.600,  灰色，裂隙发育，砂状构造，内部含少量炭屑，成分以粉砂质碎屑为主，泥质胶结，松散，易破碎。,BK139,细砂岩,,56.790,3.110,  灰白色，细粒砂状结构，块状，成份石英长石为主，含少许暗色矿物，次圆状，分选好，泥质胶结，半坚硬。,109,煤,,68.750,0.210,BK114,煤,5煤,28.860,0.600,  黑色，块状，暗煤为主，含丝炭，弱沥青光泽，条痕黑褐色，煤岩类型，半暗型，水平层理。断口呈平坦状、阶梯状棱角状，见植物茎化石。半坚硬。
