186,细砂,,37.880,37.880,0-1,中砂,新生界第四系,35.580,35.580,127,粉砂岩,,32.500,32.500
186,砾石,新生界第四系,44.330,6.450,0-1,含砾泥岩,,49.930,14.350,127,粗砾岩,,45.000,12.500
186,砂质泥岩,,52.630,8.300,0-1,细粒砂岩,,51.880,1.950,127,粗粒砂岩,新生界第四系,51.000,6.000
186,粗粒砂岩,,58.330,5.700,0-1,砂质泥岩,,63.460,11.580,127,泥岩,,98.980,47.980
186,泥岩,,96.240,37.910,0-1,泥岩,,72.460,9.000,127,5煤,5煤,99.270,0.290
186,5煤,5煤,97.250,1.010,0-1,细粒砂岩,,73.160,0.700,127,泥岩,5煤,99.480,0.210
186,泥岩,5煤,104.560,7.310,0-1,泥岩,,86.580,13.420,127,5煤,5煤,100.360,0.880
186,5煤,5煤,105.130,0.570,0-1,细砾岩,,87.820,1.240,127,细粒砂岩,5煤,100.760,0.400
186,细粒砂岩,5煤,108.910,3.780,0-1,泥岩,,98.920,11.100,127,5煤,5煤,101.160,0.400
186,5煤,5煤,109.220,0.310,0-1,粉砂岩,,99.120,0.200,127,泥岩,5煤,104.160,3.000
186,泥岩,5煤,109.480,0.260,0-1,5煤,5煤,99.420,0.300,127,5煤,5煤,104.370,0.210
186,5煤,5煤,109.780,0.300,0-1,泥岩,5煤,99.820,0.400,127,泥岩,5煤,104.530,0.160
186,泥岩,5煤,109.980,0.200,0-1,5煤,5煤,100.320,0.500,127,5煤,5煤,104.850,0.320
186,5煤,5煤,110.940,0.960,0-1,细粒砂岩,5煤,101.020,0.700,127,泥岩,5煤,105.120,0.270
186,泥岩,5煤,113.440,2.500,0-1,5煤,5煤,101.420,0.400,127,5煤,5煤,105.670,0.550
186,5煤,5煤,114.240,0.800,0-1,泥岩,5煤,101.820,0.400,127,泥岩,5煤,105.810,0.140
186,泥岩,5煤,116.080,1.840,0-1,5煤,5煤,102.720,0.900,127,5煤,5煤,105.920,0.110
186,5煤,5煤,116.320,0.240,0-1,细粒砂岩,5煤,112.270,9.550,127,泥岩,5煤,106.090,0.170
186,泥岩,5煤,116.980,0.660,0-1,5煤,5煤,112.920,0.650,127,5煤,5煤,106.640,0.550
186,5煤,5煤,117.550,0.570,0-1,泥岩,5煤,113.220,0.300,127,细粒砂岩,5煤,106.960,0.320
186,细粒砂岩,5煤,119.150,1.600,0-1,5煤,5煤,113.420,0.200,127,5煤,5煤,107.760,0.800
186,5煤,5煤,120.310,1.160,0-1,泥岩,5煤,113.620,0.200,127,泥岩,5煤,109.890,2.130
186,泥岩,5煤,120.620,0.310,0-1,5煤,5煤,114.170,0.550,127,5煤,5煤,110.340,0.450
