1-3,砂土,新生界第四系,21.190,21.190,1-1,中砂,新生界第四系,25.840,25.840,1-2,中砂,新生界第四系,33.770,33.770
1-3,砂质泥岩,,22.360,1.170,1-1,中砾岩,,29.790,3.950,1-2,砾石,,101.630,67.860
1-3,粗粒砂岩,,32.020,9.660,1-1,粉砂岩,,33.090,3.300,1-2,泥岩,,110.920,9.290
1-3,砂质泥岩,,65.490,33.470,1-1,中砾岩,,50.050,16.960,1-2,粗粒砂岩,,115.340,4.420
1-3,泥岩,,88.540,23.050,1-1,泥岩,,52.050,2.000,1-2,泥岩,,134.240,18.900
1-3,煤,,89.140,0.600,1-1,粉砂岩,,88.230,36.180,1-2,6上煤,6上煤,140.020,5.780
1-3,泥岩,,90.790,1.650,1-1,泥岩,,109.450,21.220,1-2,泥岩,6上煤,140.720,0.700
1-3,煤,,92.090,1.300,1-1,5煤,5煤,110.750,1.300,1-2,6上煤,6上煤,141.020,0.300
1-3,泥岩,,92.190,0.100,1-1,泥岩,5煤,111.050,0.300,1-2,泥岩,,142.420,1.400
1-3,煤,,92.590,0.400,1-1,5煤,5煤,112.450,1.400,1-2,煤,,142.720,0.300
1-3,泥岩,,95.050,2.460,1-1,泥岩,5煤,115.520,3.070,1-2,泥岩,,148.120,5.400
1-3,煤,,95.600,0.550,1-1,5煤,5煤,116.220,0.700,1-2,粗粒砂岩,,150.820,2.700
1-3,泥岩,,108.280,12.680,1-1,泥岩,5煤,116.450,0.230,1-2,泥岩,,151.220,0.400
1-3,煤,,108.580,0.300,1-1,5煤,5煤,117.450,1.000,1-2,6-1煤,6-1煤,152.320,1.100
1-3,泥岩,,108.680,0.100,1-1,泥岩,5煤,117.650,0.200,1-2,泥岩,6-1煤,153.400,1.080
1-3,煤,,109.380,0.700,1-1,5煤,5煤,121.150,3.500,1-2,6-1煤,6-1煤,159.850,6.450
1-3,泥岩,,122.140,12.760,1-1,泥岩,,124.150,3.000,1-2,泥岩,6-1煤,160.200,0.350
1-3,5煤,5煤,123.340,1.200,1-1,5下煤,5下煤,124.950,0.800,1-2,6-1煤,6-1煤,160.450,0.250
1-3,泥岩,5煤,123.740,0.400,1-1,泥岩,5下煤,125.150,0.200,1-2,泥岩,,163.200,2.750
1-3,5煤,5煤,127.340,3.600,1-1,5下煤,5下煤,126.550,1.400,1-2,6煤,6煤,165.500,2.300
1-3,泥岩,5煤,132.520,5.180,1-1,泥岩,5下煤,127.320,0.770,1-2,泥岩,6煤,167.370,1.870
1-3,5煤,5煤,134.820,2.300,1-1,5下煤,5下煤,130.620,3.300,1-2,6煤,6煤,171.160,3.790
1-3,泥岩,5煤,143.470,8.650,1-1,泥岩,5下煤,131.380,0.760,1-2,泥岩,6煤,171.560,0.400
1-3,5煤,5煤,143.970,0.500,1-1,5下煤,5下煤,132.980,1.600,1-2,6煤,6煤,181.710,10.150
