6-1,中砂,新生界第四系,4.650,4.650,6-2,中砂,新生界第四系,10.700,10.700,6-3,中砂,新生界第四系,8.080,8.080,283,砂土,,1.500,1.500
6-1,粗粒砂岩,,25.520,20.870,6-2,泥质岩细砾岩,,27.800,17.100,6-3,泥岩,,10.780,2.700,283,细粒砂岩,,4.600,3.100
6-1,泥质岩细砾岩,,37.690,12.170,6-2,泥岩,,35.820,8.020,6-3,粗粒砂岩,,24.730,13.950,283,砾石,,6.300,1.700
6-1,泥岩,,68.200,30.510,6-2,中砾岩,,41.840,6.020,6-3,泥岩,,28.890,4.160,283,细粒砂岩,新生界第四系,7.100,0.800
6-1,砂质泥岩,,86.220,18.020,6-2,泥质岩细砾岩,,48.780,6.940,6-3,细粒砂岩,,33.570,4.680,283,粉砂岩,,8.200,1.100
6-1,泥质岩细砾岩,,102.540,16.320,6-2,泥岩,,53.740,4.960,6-3,泥岩,,38.240,4.670,283,泥岩,,37.660,29.460
6-1,泥岩,,108.050,5.510,6-2,煤,,54.240,0.500,6-3,细粒砂岩,,39.640,1.400,283,5煤,5煤,38.260,0.600
6-1,煤,,108.500,0.450,6-2,泥岩,,55.540,1.300,6-3,泥岩,,41.340,1.700,283,炭质泥岩,5煤,38.420,0.160
6-1,泥岩,,114.480,5.980,6-2,煤,,56.040,0.500,6-3,细粒砂岩,,42.870,1.530,283,5煤,5煤,38.770,0.350
6-1,煤,,115.620,1.140,6-2,泥岩,,65.470,9.430,6-3,泥岩,,45.770,2.900,283,泥岩,5煤,39.810,1.040
6-1,炭质泥岩,,116.050,0.430,6-2,砂质泥岩,,66.630,1.160,6-3,细粒砂岩,,51.630,5.860,283,5煤,5煤,40.620,0.810
6-1,泥岩,,116.930,0.880,6-2,5煤,5煤,67.170,0.540,6-3,粉砂岩,,56.890,5.260,283,泥岩,5煤,41.030,0.410
6-1,煤,,117.950,1.020,6-2,砂质泥岩,5煤,69.940,2.770,6-3,泥岩,,58.540,1.650,283,5煤,5煤,41.500,0.470
6-1,泥岩,,119.410,1.460,6-2,5煤,5煤,70.240,0.300,6-3,5煤,5煤,59.040,0.500,283,泥岩,5煤,41.600,0.100
6-1,煤,,119.950,0.540,6-2,泥岩,5煤,70.540,0.300,6-3,泥岩,5煤,59.540,0.500,283,5煤,5煤,42.440,0.840
6-1,泥岩,,125.190,5.240,6-2,5煤,5煤,71.220,0.680,6-3,5煤,5煤,60.700,1.160,283,泥岩,5煤,42.550,0.110
6-1,5煤,5煤,125.940,0.750,6-2,泥岩,5煤,71.620,0.400,6-3,泥岩,5煤,62.200,1.500,283,5煤,5煤,42.780,0.230
6-1,泥岩,5煤,126.540,0.600,6-2,5煤,5煤,72.120,0.500,6-3,5煤,5煤,63.100,0.900,283,泥岩,5煤,42.910,0.130
6-1,5煤,5煤,127.690,1.150,6-2,泥岩,5煤,73.280,1.160,6-3,炭质泥岩,5煤,63.300,0.200,283,5煤,5煤,42.970,0.060
6-1,泥岩,5煤,129.770,2.080,6-2,5煤,5煤,73.710,0.430,6-3,5煤,5煤,66.200,2.900,283,泥岩,5煤,43.990,1.020
6-1,5煤,5煤,130.140,0.370,6-2,泥岩,5煤,85.120,11.410,6-3,炭质泥岩,5煤,66.350,0.150,283,5煤,5煤,44.410,0.420
6-1,泥岩,5煤,133.260,3.120,6-2,5煤,5煤,85.520,0.400,6-3,5煤,5煤,66.700,0.350,283,泥岩,5煤,44.520,0.110
6-1,5煤,5煤,133.610,0.350,6-2,泥岩,5煤,86.720,1.200,6-3,泥岩,5煤,67.100,0.400,283,5煤,5煤,45.270,0.750
6-1,泥岩,5煤,137.450,3.840,6-2,5煤,5煤,87.520,0.800,6-3,5煤,5煤,68.100,1.000,283,泥岩,5煤,46.010,0.740
6-1,5煤,5煤,137.790,0.340,6-2,炭质泥岩,5煤,93.280,5.760,6-3,泥岩,5煤,68.250,0.150,283,5煤,5煤,46.790,0.780
6-1,泥岩,5煤,140.850,3.060,6-2,5煤,5煤,93.980,0.700,6-3,5煤,5煤,68.700,0.450,283,泥岩,5煤,47.100,0.310
6-1,5煤,5煤,141.310,0.460,6-2,泥岩,5煤,94.480,0.500,6-3,泥岩,5煤,68.800,0.100,283,5煤,5煤,49.870,2.770
6-1,泥岩,5煤,144.480,3.170,6-2,5煤,5煤,97.480,3.000,6-3,5煤,5煤,68.900,0.100,283,泥岩,5煤,50.030,0.160
6-1,5煤,5煤,145.140,0.660,6-2,泥岩,5煤,98.030,0.550,6-3,泥岩,5煤,69.600,0.700,283,5煤,5煤,50.180,0.150
6-1,泥岩,5煤,146.790,1.650,6-2,煤,5煤,99.130,1.100,6-3,5煤,5煤,71.100,1.500,283,泥岩,5煤,50.290,0.110
6-1,5煤,5煤,147.190,0.400,6-2,5煤,5煤,100.530,1.400,6-3,泥岩,5煤,72.050,0.950,283,5煤,5煤,50.750,0.460
6-1,泥岩,5煤,147.340,0.150,6-2,泥岩,5煤,100.930,0.400,6-3,5煤,5煤,74.000,1.950,283,泥岩,5煤,50.860,0.110
6-1,5煤,5煤,147.590,0.250,6-2,5煤,5煤,103.030,2.100,6-3,炭质泥岩,5煤,74.100,0.100,283,5煤,5煤,54.120,3.260
6-1,泥岩,5煤,148.090,0.500,6-2,炭质泥岩,5煤,103.960,0.930,6-3,5煤,5煤,77.160,3.060,283,泥岩,5煤,54.260,0.140
6-1,5煤,5煤,148.390,0.300,6-2,5煤,5煤,105.660,1.700,6-3,炭质泥岩,5煤,77.260,0.100,283,5煤,5煤,54.490,0.230
6-1,泥岩,5煤,148.790,0.400,6-2,泥岩,5煤,105.960,0.300,6-3,5煤,5煤,77.860,0.600,283,泥岩,5煤,54.630,0.140
6-1,5煤,5煤,149.090,0.300,6-2,5煤,5煤,106.560,0.600,6-3,泥岩,5煤,78.060,0.200,283,5煤,5煤,55.580,0.950
6-1,泥岩,5煤,149.390,0.300,6-2,泥岩,5煤,107.020,0.460,6-3,5煤,5煤,81.980,3.920,283,泥岩,5煤,55.750,0.170
6-1,5煤,5煤,149.690,0.300,6-2,5煤,5煤,109.520,2.500,6-3,炭质泥岩,5煤,82.080,0.100,283,5煤,5煤,56.150,0.400
6-1,泥岩,5煤,150.090,0.400,6-2,炭质泥岩,5煤,110.620,1.100,6-3,5煤,5煤,82.680,0.600,283,泥岩,5煤,56.330,0.180
6-1,5煤,5煤,150.540,0.450,6-2,5煤,5煤,112.120,1.500,6-3,泥岩,5煤,82.780,0.100,283,5煤,5煤,58.680,2.350
6-1,泥岩,5煤,160.450,9.910,6-2,泥岩,5煤,112.620,0.500,6-3,5煤,5煤,83.590,0.810,283,泥岩,5煤,58.780,0.100
6-1,5煤,5煤,160.850,0.400,6-2,5煤,5煤,113.420,0.800,6-3,泥岩,5煤,83.690,0.100,283,5煤,5煤,59.880,1.100
6-1,泥岩,5煤,161.200,0.350,6-2,泥岩,5煤,113.820,0.400,6-3,5煤,5煤,84.190,0.500,283,泥岩,5煤,60.100,0.220
6-1,5煤,5煤,161.500,0.300,6-2,5煤,5煤,115.620,1.800,6-3,炭质泥岩,5煤,84.340,0.150,283,5煤,5煤,60.690,0.590
6-1,砂质泥岩,5煤,167.780,6.280,6-2,泥岩,5煤,115.870,0.250,6-3,5煤,5煤,87.340,3.000,283,泥岩,5煤,60.950,0.260
6-1,5煤,5煤,168.280,0.500,6-2,5煤,5煤,117.120,1.250,6-3,泥岩,5煤,87.440,0.100,283,5煤,5煤,62.950,2.000
6-1,泥岩,5煤,169.460,1.180,6-2,泥岩,5煤,117.420,0.300,6-3,5煤,5煤,89.340,1.900,283,泥岩,5煤,63.720,0.770
6-1,5煤,5煤,170.860,1.400,6-2,5煤,5煤,118.160,0.740,6-3,泥岩,5煤,89.740,0.400,283,5煤,5煤,63.970,0.250
6-1,泥岩,5煤,171.110,0.250,6-2,泥岩,5煤,118.360,0.200,6-3,5煤,5煤,96.560,6.820,283,泥岩,5煤,64.170,0.200
6-1,5煤,5煤,171.560,0.450,6-2,5煤,5煤,120.260,1.900,6-3,粉砂岩,,106.810,10.250,283,5煤,5煤,64.670,0.500
6-1,泥岩,5煤,173.060,1.500,6-2,炭质泥岩,,121.060,0.800,6-3,炭质泥岩,,107.510,0.700,283,泥岩,5煤,65.270,0.600
6-1,5煤,5煤,174.410,1.350,6-2,泥岩,,126.420,5.360,6-3,粉砂岩,,109.190,1.680,283,5煤,5煤,67.100,1.830
6-1,泥岩,5煤,174.660,0.250,6-2,5下煤,5下煤,129.920,3.500,6-3,炭质泥岩,,109.990,0.800,283,粉砂岩,,72.100,5.000
6-1,5煤,5煤,175.010,0.350,6-2,泥岩,,179.060,49.140,6-3,粉砂岩,,113.090,3.100,283,泥岩,,83.000,10.900
6-1,泥岩,5煤,175.710,0.700,6-2,6煤,6煤,179.360,0.300,6-3,泥岩,,120.880,7.790,283,粉砂岩,,91.710,8.710
6-1,5煤,5煤,176.580,0.870,6-2,泥岩,6煤,179.760,0.400,6-3,细粒砂岩,,121.430,0.550,283,煤,,91.880,0.170
6-1,泥岩,5煤,177.080,0.500,6-2,6煤,6煤,181.360,1.600,6-3,泥岩,,137.580,16.150,283,泥岩,,92.050,0.170
6-1,5煤,5煤,178.210,1.130,6-2,泥岩,6煤,181.560,0.200,6-3,6上煤,6上煤,143.330,5.750,283,煤,,92.150,0.100
6-1,泥岩,5煤,178.610,0.400,6-2,6煤,6煤,186.460,4.900,6-3,炭质泥岩,6上煤,143.630,0.300,283,泥岩,,92.300,0.150
6-1,5煤,5煤,178.910,0.300,6-2,泥岩,6煤,187.000,0.540,6-3,6上煤,6上煤,144.030,0.400,283,煤,,92.460,0.160
6-1,泥岩,5煤,179.260,0.350,6-2,6煤,6煤,189.800,2.800,6-3,泥岩,6上煤,144.180,0.150,283,泥岩,,92.540,0.080
6-1,5煤,5煤,179.860,0.600,6-2,泥岩,6煤,190.000,0.200,6-3,6上煤,6上煤,144.960,0.780,283,煤,,92.620,0.080
6-1,粗粒砂岩,,182.620,2.760,6-2,6煤,6煤,191.550,1.550,6-3,泥岩,6上煤,145.260,0.300,283,炭质泥岩,,92.820,0.200
6-1,5下煤,5下煤,183.470,0.850,6-2,泥岩,6煤,192.200,0.650,6-3,6上煤,6上煤,145.560,0.300,283,5下煤,5下煤,92.930,0.110
6-1,泥岩,5下煤,183.870,0.400,6-2,6煤,6煤,194.700,2.500,6-3,炭质泥岩,6上煤,145.710,0.150,283,泥岩,5下煤,93.040,0.110
6-1,5下煤,5下煤,184.270,0.400,6-2,泥岩,6煤,195.500,0.800,6-3,6上煤,6上煤,146.160,0.450,283,5下煤,5下煤,93.310,0.270
6-1,泥岩,5下煤,184.520,0.250,6-2,6煤,6煤,199.000,3.500,6-3,粉砂岩,,150.240,4.080,283,泥岩,5下煤,93.410,0.100
6-1,5下煤,5下煤,186.270,1.750,6-2,泥岩,6煤,199.200,0.200,6-3,泥岩,,152.390,2.150,283,5下煤,5下煤,93.660,0.250
6-1,泥岩,5下煤,186.670,0.400,6-2,6煤,6煤,200.600,1.400,6-3,粉砂岩,,156.660,4.270,283,炭质泥岩,5下煤,93.960,0.300
6-1,5下煤,5下煤,187.660,0.990,6-2,泥岩,6煤,201.000,0.400,6-3,6-1煤,6-1煤,157.460,0.800,283,5下煤,5下煤,94.220,0.260
6-1,煤,5下煤,189.360,1.700,6-2,6煤,6煤,229.650,28.650,6-3,泥岩,6-1煤,158.860,1.400,283,粉砂岩,,100.630,6.410
6-1,5下煤,5下煤,190.460,1.100,6-2,泥岩,6煤,230.000,0.350,6-3,炭质泥岩,6-1煤,159.160,0.300,283,泥岩,,107.610,6.980
6-1,泥岩,5下煤,190.860,0.400,6-2,6煤,6煤,233.810,3.810,6-3,6-1煤,6-1煤,161.200,2.040,283,6上煤,6上煤,107.720,0.110
6-1,5下煤,5下煤,191.400,0.540,6-2,泥岩,6煤,234.010,0.200,6-3,炭质泥岩,6-1煤,161.800,0.600,283,泥岩,6上煤,107.820,0.100
6-1,泥岩,,211.690,20.290,6-2,6煤,6煤,235.010,1.000,6-3,6-1煤,6-1煤,166.700,4.900,283,6上煤,6上煤,107.930,0.110
6-1,6煤,6煤,212.140,0.450,6-2,泥岩,,257.800,22.790,6-3,泥岩,6-1煤,166.900,0.200,283,泥岩,6上煤,108.010,0.080
6-1,泥岩,6煤,212.340,0.200,,,,,,6-3,炭质泥岩,6-1煤,167.500,0.600,283,6上煤,6上煤,108.090,0.080
6-1,6煤,6煤,213.530,1.190,,,,,,6-3,6-1煤,6-1煤,167.900,0.400,283,泥岩,6上煤,108.950,0.860
6-1,泥岩,6煤,213.730,0.200,,,,,,6-3,炭质泥岩,6-1煤,168.200,0.300,283,6上煤,6上煤,109.080,0.130
6-1,6煤,6煤,215.490,1.760,,,,,,6-3,6-1煤,6-1煤,168.480,0.280,283,泥岩,6上煤,109.240,0.160
6-1,泥岩,6煤,215.690,0.200,,,,,,6-3,高灰分煤,6-1煤,170.930,2.450,283,6上煤,6上煤,109.400,0.160
6-1,6煤,6煤,216.290,0.600,,,,,,6-3,泥岩,,171.930,1.000,283,泥岩,6上煤,109.500,0.100
6-1,泥岩,6煤,216.490,0.200,,,,,,6-3,粉砂岩,,174.170,2.240,283,6上煤,6上煤,109.650,0.150
6-1,6煤,6煤,216.910,0.420,,,,,,6-3,6煤,6煤,175.170,1.000,283,砂质泥岩,,109.790,0.140
6-1,泥岩,6煤,217.160,0.250,,,,,,6-3,炭质泥岩,6煤,176.570,1.400,283,泥岩,,111.940,2.150
6-1,6煤,6煤,217.360,0.200,,,,,,6-3,6煤,6煤,194.690,18.120,283,粉砂岩,,145.250,33.310
6-1,泥岩,6煤,217.560,0.200,,,,,,6-3,炭质泥岩,6煤,195.340,0.650,283,6煤,6煤,153.260,8.010
6-1,6煤,6煤,223.750,6.190,,,,,,6-3,6煤,6煤,195.740,0.400,283,炭质泥岩,6煤,153.540,0.280
6-1,泥岩,6煤,224.200,0.450,,,,,,6-3,炭质泥岩,6煤,195.940,0.200,283,6煤,6煤,167.000,13.460
6-1,6煤,6煤,226.200,2.000,,,,,,6-3,6煤,6煤,196.340,0.400,283,泥岩,6煤,167.210,0.210
6-1,泥岩,6煤,226.450,0.250,,,,,,6-3,煤,6煤,196.540,0.200,283,6煤,6煤,183.310,16.100
6-1,6煤,6煤,226.650,0.200,,,,,,6-3,6煤,6煤,197.290,0.750,283,泥岩,6煤,184.240,0.930
6-1,泥岩,6煤,226.900,0.250,,,,,,6-3,泥岩,6煤,197.490,0.200,283,6煤,6煤,185.740,1.500
6-1,6煤,6煤,227.400,0.500,,,,,,6-3,煤,6煤,197.740,0.250,283,泥岩,,229.430,43.690
6-1,泥岩,6煤,227.760,0.360,,,,,,6-3,6煤,6煤,198.190,0.450,283,7煤,7煤,229.590,0.160
6-1,6煤,6煤,228.960,1.200,,,,,,6-3,煤,6煤,198.590,0.400,283,泥岩,7煤,229.740,0.150
6-1,泥岩,6煤,229.760,0.800,,,,,,6-3,6煤,6煤,198.890,0.300,283,7煤,7煤,233.740,4.000
6-1,6煤,6煤,231.660,1.900,,,,,,6-3,炭质泥岩,6煤,200.760,1.870,283,泥岩,7煤,233.990,0.250
6-1,泥岩,6煤,232.200,0.540,,,,,,6-3,6煤,6煤,201.760,1.000,283,7煤,7煤,234.990,1.000
6-1,6煤,6煤,234.300,2.100,,,,,,6-3,粉砂岩,6煤,210.880,9.120,283,泥岩,7煤,235.330,0.340
6-1,泥岩,6煤,235.400,1.100,,,,,,6-3,6煤,6煤,211.030,0.150,283,7煤,7煤,237.380,2.050
6-1,6煤,6煤,236.800,1.400,,,,,,6-3,煤,6煤,211.230,0.200,283,泥岩,,245.580,8.200
6-1,砂质泥岩,6煤,237.500,0.700,,,,,,6-3,6煤,6煤,211.330,0.100,283,8煤,8煤,247.380,1.800
6-1,6煤,6煤,240.620,3.120,,,,,,6-3,炭质泥岩,6煤,211.630,0.300,283,粉砂岩,,250.380,3.000
6-1,泥岩,6煤,241.420,0.800,,,,,,6-3,6煤,6煤,212.030,0.400,283,9煤,9煤,250.530,0.150
6-1,6煤,6煤,241.920,0.500,,,,,,6-3,炭质泥岩,6煤,214.830,2.800,283,泥岩,9煤,250.830,0.300
6-1,泥岩,6煤,242.160,0.240,,,,,,6-3,6煤,6煤,215.230,0.400,283,9煤,9煤,251.520,0.690
6-1,6煤,6煤,243.920,1.760,,,,,,6-3,泥岩,6煤,215.480,0.250,283,泥岩,,405.600,154.080
6-1,泥岩,6煤,244.120,0.200,,,,,,6-3,6煤,6煤,225.320,9.840,283,11煤,11煤,406.350,0.750
6-1,6煤,6煤,244.320,0.200,,,,,,6-3,粉砂岩,,236.380,11.060,283,泥岩,11煤,406.480,0.130
6-1,泥岩,6煤,244.520,0.200,,,,,,6-3,泥岩,,241.020,4.640,283,11煤,11煤,407.260,0.780
6-1,6煤,6煤,244.770,0.250,,,,,,,,,,,283,粉砂岩,,625.760,218.500
6-1,泥岩,6煤,245.020,0.250,,,,,,,,,,,283,12煤,12煤,626.010,0.250
6-1,6煤,6煤,247.970,2.950,,,,,,,,,,,283,泥岩,12煤,626.210,0.200
6-1,泥岩,6煤,248.670,0.700,,,,,,,,,,,283,12煤,12煤,626.550,0.340
6-1,6煤,6煤,249.310,0.640,,,,,,,,,,,283,泥岩,12煤,626.620,0.070
6-1,泥岩,6煤,249.610,0.300,,,,,,,,,,,283,12煤,12煤,626.720,0.100
