XC01,砂质粘土,,3.000,3.000,土黄色，松散土状，未固结成岩，手搓有砂粒感，地表被植被 覆盖。,BK221,填筑土,新生界第四系,18.300,18.300,  土黄色，松散，主要以砂土，泥岩，砂砾岩，及煤矸石堆积而成。,BK220,填筑土,新生界第四系,17.850,17.850,  灰色，灰黑色，主要由砂土，砂砾岩，泥岩及煤矸石堆积而成。,BK219,填筑土,新生界第四系,55.000,55.000,填筑土
XC01,砾石,新生界第四系,5.400,2.400,黄褐色至灰绿色，砂砾石成块状，分选性差，呈亚圆形至次棱 角，未固结成岩。,BK221,砂砾岩,上白垩统,29.300,11.000,"  灰绿色，砂多以细砂为主，砾多以英岩砾，火成岩砾组成，砾径10-30mm,大者50mm,多呈次圆状，分选差，局部泥质含量较高，松软，易碎。",BK220,砂砾岩,上白垩统,20.400,2.550,"  褐黄色，半胶结状，砂多以细砂为主，砾多以英岩砾，火成岩砾组成，砾径10-20mm,多呈次圆状，分选差，泥质胶结，松软，易碎。",BK219,中砂,,74.250,19.250,灰绿色，中粒砂状结构，层状，成分石英、长石为主，含少许细砾石， 次圆状，分选中等，泥质胶结，半坚硬。
XC01,砂砾石,新近系,9.650,4.250,灰色，砂砾结构，块状构造，泥质胶结，粒径约为0. 5-2cm，固 结程度差。断面参差，岩心成短柱状，裂隙、节理不发育,BK221,泥岩,,37.040,7.740,  深灰色，泥质结构，块状构造，断口参差状，风化后呈碎块状，局部夹细砂岩薄层，含少量炭化植物碎屑及茎叶化石，松软。,BK220,泥岩,,41.900,21.500,  深灰色，灰黑色，泥质结构，块状，断口不规则状，细腻，固结程度差，松软，局部见有滑面。,BK219,泥岩,,77.900,3.650,灰色，层状，细腻，含岩屑，局部具滑面，平坦状断口，半坚硬。夹薄 层砂质泥岩。
XC01,泥质细砂岩,,13.650,4.000,黄褐色，砂粒结构，块状构造，泥质胶结。固结程度差。,BK221,煤,5煤,37.400,0.360,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，半坚硬，其中有泥岩夹矸5层，炭质泥岩夹矸3层。,BK220,煤,5煤,42.300,0.400,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸2层。,BK219,细砂岩,上白垩统,79.200,1.300,杂色，细粒砂质结构，层状，成分石英、长石为主，次圆状，分选好， 松散，胶结程度低。偶见火山岩砾。
XC01,泥岩,,17.250,3.600,灰绿色，泥质结构，层状构造。岩心照片呈短柱状裂隙，长约5-10cm。,BK221,炭质泥岩,5煤,37.550,0.150,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软,BK220,泥岩,5煤,42.500,0.200,  深灰色，泥质结构，块状，断口不参差状，合炭化植物碎屑及茎叶化石，风化后呈碎块状。,BK219,泥岩,,83.900,4.700,深灰色，层状，细腻，含岩屑，局部具滑面，平坦状断口，半坚硬。
XC01,泥质细砂岩,,20.500,3.250,黄绿色，泥质结构，层状构造，局部含有角砾，粒径约为1-2cm ，固结程度较好，参差状断口，局部有褐铁矿化。含有细砂岩夹 层。,BK221,煤,5煤,38.390,0.840,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，半坚硬，其中有泥岩夹矸5层，炭质泥岩夹矸3层。,BK220,煤,5煤,43.210,0.710,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸2层。,BK219,细砂岩,,89.500,5.600,灰白色，细粒砂状结构，层状，成分石英、长石为主，含少许细砾石， 次圆状，分选中等，泥质胶结，半坚硬
XC01,砂质泥岩,,24.110,3.610,灰绿色，泥质结构，层状构造，泥质胶结，固结程度差。,BK221,泥岩,5煤,38.630,0.240,  深灰色，泥质结构，块状构造，断口参差状，风化后呈碎块状，局部夹细砂岩薄层，含少量炭化植物碎屑及茎叶化石，松软。,BK220,泥岩,5煤,43.540,0.330,  深灰色，泥质结构，块状，断口不参差状，合炭化植物碎屑及茎叶化石，风化后呈碎块状。,BK219,泥岩,,94.500,5.000,深灰色，层状，细腻，含岩屑，局部具滑面，平坦状断口，半坚硬。夹 薄层炭质泥岩。
XC01,泥岩,,28.550,4.440,灰绿色，泥质结构，层状构造。断口参差，岩心呈短柱状。,BK221,煤,5煤,40.300,1.670,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，半坚硬，其中有泥岩夹矸5层，炭质泥岩夹矸3层。,BK220,煤,5煤,44.470,0.930,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸2层。,BK219,细砂岩,,97.650,3.150,灰白色，细粒砂状结构，层状，成分石英、长石为主，分选中等，泥质 胶结，半坚硬。
XC01,炭质泥岩,,30.530,1.980,灰黑色，泥质结构，层状构造，有机质含量30%左右。,BK221,泥岩,5煤,40.530,0.230,  深灰色，泥质结构，块状构造，断口参差状，风化后呈碎块状，局部夹细砂岩薄层，含少量炭化植物碎屑及茎叶化石，松软。,BK220,炭质泥岩,5煤,44.740,0.270,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软,BK219,砂质泥岩,,98.320,0.670,深灰色，层状，细腻，含岩屑，局部具滑面，平坦状断口，半坚硬。夹 薄层炭质泥岩。
XC01,5煤,5煤,30.800,0.270,黑褐色，条带状结构，层状构造，断口平整，固结程度好，多 呈短柱状，条痕呈褐色，弱沥青光泽。,BK221,煤,5煤,41.050,0.520,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，半坚硬，其中有泥岩夹矸5层，炭质泥岩夹矸3层。,BK220,煤,5煤,45.100,0.360,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸2层。,BK219,细粒砂岩,,99.150,0.830,灰白色，细粒砂状结构，层状，成分石英、长石为主，分选中等，泥质 胶结，半坚硬。
XC01,泥岩,5煤,31.010,0.210,灰绿色，泥质结构，层状构造。局部富含炭屑。,BK221,泥岩,5煤,41.460,0.410,  深灰色，泥质结构，块状构造，断口参差状，风化后呈碎块状，局部夹细砂岩薄层，含少量炭化植物碎屑及茎叶化石，松软。,BK220,泥岩,5煤,45.350,0.250,  深灰色，泥质结构，块状，断口不参差状，合炭化植物碎屑及茎叶化石，风化后呈碎块状。,BK219,砂质泥岩,,100.060,0.910,深灰色，层状，细腻，含岩屑，局部具滑面，平坦状断口，半坚硬。夹 薄层炭质泥岩。
