538,表土和积土层,,3.000,3.000,225,砂质粘土,新生界第四系,13.100,13.100,BK217,砂土,新生界第四系,3.200,3.200,"  土黄色，松散，主要由风成砂土，坡积砂土组成,顶部富含现代植物根系，底部含砾。",224,含砾细粒砂岩,,31.440,31.440,BK218,填筑土,新生界第四系,47.000,47.000,  土黄色，灰色，松散，主要以砂土，泥岩，粉砂岩，砂砾岩堆积而成。,172,砂质粘土,,15.010,15.010
538,砂土,新生界第四系,9.300,6.300,225,砂质泥岩,,122.420,109.320,BK217,砂砾岩,,8.900,5.700,"  土黄色，松散，砾多以英岩砾，火成岩砾组成，砾径2-10mm,多呈次棱角状，分选差。",224,5煤,5煤,31.880,0.440,BK218,砂砾岩,,56.300,9.300,"  褐黄色，半胶结状，砾多以英岩砾，火成岩砾组成，砾径2-10mm,大者可达30mm,多呈棱角状，分选差，泥质胶结，胶结差，岩芯破碎。",172,煤,,15.260,0.250
538,细粒砂岩,,11.300,2.000,225,5煤,5煤,122.600,0.180,BK217,砂质泥岩,,10.700,1.800,  褐黄色，泥质结构，半胶结状，砂多以细砂为主，分布不均一，松软，局部含有细砾。,224,泥岩,5煤,31.990,0.110,BK218,泥岩,,61.300,5.000,  灰绿色，泥质结构，块状构造，断口不规则状，松软。,172,泥岩,,15.790,0.530
538,泥岩,,13.000,1.700,225,泥岩,5煤,122.720,0.120,BK217,含砾泥岩,,30.400,19.700,"  灰绿色，泥质结构，块状构造，断口不规则状，砾多以英岩砾，火成岩砾组成，砾径2-30mm,大者可达50mm,多呈次圆状，分选差，松软。",224,5煤,5煤,32.150,0.160,BK218,粉砂岩,上白垩统,62.000,0.700,  灰绿色，粉砂状结构，厚层状构造，泥质胶结，均匀层理，松软，易碎。,172,煤,,15.950,0.160
538,砾岩,,19.600,6.600,225,5煤,5煤,123.520,0.800,BK217,细粒砂岩,,32.370,1.970,  灰绿色，细粒砂状结构，厚层状构造，成分以石英为主，长石次之，云母少量，分选差，泥质胶结，松软，易碎。,224,泥岩,5煤,33.340,1.190,BK218,泥岩,,73.390,11.390,  深灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，松软，风化易碎。,172,泥岩,,16.450,0.500
538,泥岩,,40.000,20.400,225,泥岩,5煤,123.710,0.190,BK217,含砾泥岩,,42.300,9.930,"  灰绿色，泥质结构，块状构造，断口不规则状，砾多以英岩砾，火成岩砾组成，砾径2-10mm,大者可达30mm,多呈次圆状，分选差，松软。",224,5煤,5煤,33.550,0.210,BK218,煤,5煤,74.220,0.830,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬，其中有泥岩夹矸7层，炭质泥岩夹矸2层。,172,5煤,5煤,16.680,0.230
538,砂质砾岩,,49.000,9.000,225,5煤,5煤,124.190,0.480,BK217,粉砂岩,,43.000,0.700,  灰绿色，粉砂状结构，厚层状构造，泥质胶结，均匀层理，局部含细砾，松软，易碎。,224,泥岩,5煤,33.860,0.310,BK218,泥岩,5煤,74.630,0.410,  深灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，松软，风化易碎。,172,泥岩,5煤,16.740,0.060
538,泥岩,,53.700,4.700,225,泥岩,5煤,124.380,0.190,BK217,砂砾岩,,43.700,0.700,"  灰白色，砾多以英岩砾，火成岩砾为主，砾径2-10mm,多呈次圆状，分选差，钙质胶结，致密，坚硬。",224,5煤,5煤,34.520,0.660,BK218,煤,5煤,75.050,0.420,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬，其中有泥岩夹矸7层，炭质泥岩夹矸2层。,172,5煤,5煤,16.850,0.110
538,砂质砾岩,,61.000,7.300,225,5煤,5煤,124.830,0.450,BK217,含砾泥岩,上白垩统,49.800,6.100,"  灰绿色，泥质结构，块状构造，断口不规则状，砾多以英岩砾，火成岩砾组成，砾径2-10mm,多呈次圆状，分选中等，松软。",224,泥岩,5煤,35.900,1.380,BK218,泥岩,5煤,75.180,0.130,  深灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，松软，风化易碎。,172,泥岩,5煤,16.960,0.110
538,细粒砂岩,,64.000,3.000,225,泥岩,5煤,124.960,0.130,BK217,泥岩,,70.240,20.440,  深灰色，泥质结构，块状构造，断口参差状，局部见细小炭化植物碎屑，风化易碎，松软。,224,5煤,5煤,36.120,0.220,BK218,煤,5煤,75.310,0.130,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬，其中有泥岩夹矸7层，炭质泥岩夹矸2层。,172,5煤,5煤,17.110,0.150
538,泥岩,,66.000,2.000,225,5煤,5煤,125.260,0.300,BK217,煤,5煤,70.660,0.420,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸4层。,224,泥岩,5煤,36.230,0.110,BK218,炭质泥岩,5煤,75.590,0.280,炭质泥岩:灰色，坚硬，具外生裂隙，砾径5-30mm,172,泥岩,5煤,17.440,0.330
