BK195,砂土,,4.000,4.000,土黄色，松散，主要由风成砂土、坡积砂土组成，顶部富含现代植物根 系，底部含砾,XC03,粉砂质粘土,新生界第四系,12.900,12.900,褐黄、灰褐、灰绿色，可塑—硬塑，干强度、韧性中等，切面 粗糙，局部含铁锈，铁锰质结核，土质分布不均，含砂砾石，粒 径0. 2-5. 0cm，含量5%-30%。,BK173,表土和积土层,新生界第四系,3.000,3.000,浅黄色，松散，含大量细砂，见少许植物根系,BK156,砂土,,6.800,6.800,  黄色，松散，主要由砂，碎石组成。含有现代植物根系，含少量粘土。,BK144,砂土,,7.300,7.300,土黄色，松散，主要由风成砂土、坡积砂土组成，顶部为腐殖土，富含 现代植物根系，底部含砾。,110,砂土,,1.500,1.500,BK119,泥岩,,9.450,9.450,灰黑色.泥质结构.巨厚层状，岩质较软，手掰易碎
BK195,砂砾岩,新生界第四系,8.000,4.000,"土黄色，松散，主要由石英岩砾，火成岩砾组成，砾径2-20mm,大者30mm ，多呈次棱角状,。",XC03,砂质泥岩,,15.220,2.320,灰绿色、灰色，夹砂砾岩层，泥质结构，块状构造，主要矿物 成分为粘土矿物及长石、石英，岩石断口参差状，局部含砂砾石 ，粒径0. 1-2. 0cm；岩芯呈短柱状，节长10-15cm，局部为扁柱状 、块状，RQD=59%，岩体固结程度差，易风化，岩质较软，裂隙不 发育。,BK173,细砂,新近系,18.300,15.300,浅黄色，松散，成份以石英，长石为主，胶结差，泥质胶结。,BK156,细砂,新生界第四系,9.200,2.400,  灰绿色。粒径不均匀，含少量粘土主要成分以长石，石英组成。松散。,BK144,砂砾岩,新生界第四系,12.500,5.200,"土黄色，松散，主要由石英岩砾，火成岩砾组成，砾径10-20mm,多呈次 棱角状，分选差。",110,砂质粘土,新生界第四系,8.680,7.180,BK119,砂质泥岩,,23.050,13.600,灰黑色，灰绿色。泥质结构，巨厚层状，主要成分为粘土矿物，含少量 砂质，砂多以粉砂为主，岩质较软，手掰易断，风化后易开裂，断口呈棱 角状。
BK195,砂质泥岩,,8.900,0.900,褐黄色，半胶结状，砂多以粉砂为主，分布不均一，松软易碎。,XC03,砂砾岩,,16.100,0.880,灰绿色，泥质胶结，砂砾结构，块状构造，砂砾粒径0. 2-5. 0cm ，主要矿物成分为长石、石英，断面参差状；岩芯短柱状，节长1 0-12cm，局部破碎，RQD=59%，岩体固结程度低，水浸易崩解，透 水性较好。,BK173,粉砂岩,,32.500,14.200,灰绿色，粉砂状结构，见少量砾石，砾石为火山岩砾，呈次圆状，易碎 ，参差状断口。。,BK156,粗砾岩,,20.030,10.830,  灰绿色，粗砾结构，巨厚层状，成分以石英砾为主，分选差，砾石径2-50mm之间。填隙物以砂为主，基底式胶结，胶结松散，易碎。,BK144,含砾泥岩,,19.200,6.700,"灰色，微显绿色，泥质结构，块状构造，砾多以英岩砾，火成岩砾组成 ，砾径2-15mm,大者可达30mm,多呈次圆状，含量约15%左右,局部岩芯破碎",110,砂砾岩,,14.840,6.160,BK119,炭质泥岩,,24.650,1.700,黑色、条带状结构、块状构造、含泥比重较大。
BK195,含砾泥岩,,16.400,7.500,"灰绿色，泥质结构，块状构造，断口不规则，砾多以英岩砾，火成岩砾 组成，砾径2-20mm,大者可达40mm,多呈次圆状，分选差，松软，固结程度 差",XC03,砂质泥岩,,20.100,4.000,灰色，局部含泥质砂砾夹层，泥质结构，块状构造，主要矿物 成分为粘土矿物及长石、石英，岩石断口不平整，局部含砂砾石 ，粒径0. 1-1. 5cm；岩芯呈柱状、短柱状，节长15-35cm，局部为 扁柱状、块状，RQD=61%，岩体固结程度差，易风化，岩质较软， 裂隙不发育。,BK173,泥岩,,51.300,18.800,灰绿色，快状，泥质结构，夹细砂岩薄层，参差状断口。,BK156,含砾泥岩,,23.030,3.000,  灰黑色，泥质结构，巨厚层状，砾石成分为石英。砾径2-30mm。多呈次圆状，分布不均一，岩芯多呈碎块状，风化易碎。,BK144,砂砾岩,,29.970,10.770,"灰绿色，松散，砂多以细砂为主，砾多以英岩砾，火成岩砾组成，砾径2-20mm,多呈次棱角状，分选差，泥质胶结。",110,泥岩,,37.220,22.380,BK119,煤,5煤,25.450,0.800,黑色，柱状，块状、棕褐色条痕、弱沥青光泽，以暗煤为主，亮煤次之 ，夹镜煤条带。半暗型煤，断口平坦状-阶梯状。
BK195,砂质泥岩,,22.000,5.600,深灰色，泥质结构，块状构造，砂多以细砂为主，分布不均一，断口不 规则状，松软，固结程度差。,XC03,细粒砂岩,,21.700,1.600,灰色，泥质胶结，细粒结构，块状构造，主要矿物成分为长石 、石英，断面不平整，局部含炭屑；岩芯呈柱状、短柱状，节长1 5-20cm，RQD=78%，岩石水浸易崩解，透水性较好,BK173,中粒砂岩,,53.100,1.800,灰绿色，中粒砂状结构，成份以石英，长石为主，分选中等，泥质胶结 ，胶结差，,BK156,粉砂岩,,26.910,3.880,"  灰绿色、粉砂状结构,巨厚层状、岩质细腻，泥质胶结。",BK144,泥岩,,39.600,9.630,灰绿色，泥质结构，块状构造，断口参差状，风化易碎,110,砂砾岩,,41.000,3.780,BK119,泥岩,5煤,25.970,0.520,黑色，泥质结构。具厚层状，风化后易开裂。
BK195,含砾泥岩,,25.400,3.400,"灰绿色，泥质结构，块状构造，断口不规则，砾多以英岩砾，火成岩砾 组成，砾径2-10mm,大者可达30mm,多呈次圆状，松软，易碎。",XC03,砂质泥岩,,28.200,6.500,灰色，局部含泥质砂砾夹层，泥质结构，块状构造，主要矿物 成分为粘土矿物及长石、石英，岩石断口不平整，局部含砂砾石 ，粒径0. 1-1. 5cm；岩芯呈柱状、短柱状，节长15-35cm，局部为 扁柱状、块状，RQD=62%，岩体固结程度差，易风化，岩质较软， 裂隙不发育。,BK173,泥岩,,60.700,7.600,灰绿色，块状，泥质结构，含少量细砾，参差状断口。,BK156,泥岩,,32.350,5.440,  灰绿色、泥质结构，巨厚层状。岩质细腻较软，易破碎。,BK144,粉砂岩,上白垩统,43.620,4.020,灰色，微显绿色，粉砂状结构，厚层状构造，泥质胶结，均匀层理，下 部含砾。,110,泥岩,,46.800,5.800,BK119,煤,5煤,28.500,2.530,黑色，柱状，块状、棕褐色条痕、弱沥青光泽，以暗煤为主，亮煤次之 ，夹镜煤条带。半暗型煤，断口平坦状-阶梯状。
BK195,砂质泥岩,,31.000,5.600,灰绿色，泥质结构，块状构造，砂多以细砂为主，分布不均一，断口不 规则，松软，固结程度差。,XC03,泥质砂岩,,30.100,1.900,灰色，细砂结构，块状构造，主要矿物成分为长石、石英，断 面不平整，局部含炭屑；岩芯短柱状，节长10-15cm，RQD=65%， 岩质较软，岩石水浸易崩解，透水性一般,BK173,中砾岩,,63.300,2.600,灰色为主，块状，砾石成份以变质岩砾为主，基底式胶结，砾径最大2CM ，次棱角状，半坚硬,BK156,粉砂岩,,34.570,2.220,"  灰绿色、粉砂状结构,巨厚层状、岩质细腻，半坚硬，泥质胶结。",BK144,泥岩,,54.000,10.380,灰色，泥质结构，块状构造，断口平坦状，局部含少量炭化植物碎屑， 夹粉砂岩薄层。,110,砂砾岩,,49.600,2.800,BK119,泥岩,5煤,28.970,0.470,黑色，泥质结构。具厚层状，风化后易开裂。
BK195,含砾砂岩,,38.000,7.000,"灰绿色，泥质结构，块状构造，断口不规则，砾多以英岩砾，火成岩砾 组成，砾径2-20mm,大者可达30mm,含量15%左右，松软",XC03,砂质泥岩,,36.600,6.500,灰绿色，局部夹砂砾岩、粉砂岩夹层，泥质结构，块状构造， 主要矿物成分为粘土矿物及长石、石英，岩石断口不平整，局部 含砂砾石，粒径0. 1-0. 5cm；岩芯呈柱状、短柱状，节长10-25cm ，局部为扁柱状、块状，RQD=73%，岩体固结程度差，易风化，岩 质较软，裂隙不发育。,BK173,泥岩,,72.000,8.700,灰绿色，泥质结构，块状，细腻，见煤线，易碎，参差状断口,BK156,泥岩,,41.420,6.850,  灰绿色、泥质结构，巨厚层状。岩质较软，内部含少量砂质。风化后易开裂。,BK144,含砾泥岩,,55.200,1.200,"灰色，泥质结构，块状构造，断口参差状，砾多以英岩砾，火成岩砾组 成，砾径2-10mm,多呈次圆状，分选差，含量约15%左右",110,泥岩,,74.530,24.930,BK119,煤,5煤,30.750,1.780,黑色，柱状，块状、棕褐色条痕、弱沥青光泽，以暗煤为主，亮煤次之 ，夹镜煤条带。半暗型煤，断口平坦状-阶梯状。
BK195,泥岩,,47.800,9.800,深灰色，泥质结构，块状构造，断口参差状，夹灰绿色，松软，固结程 度差。,XC03,粉砂岩,,37.750,1.150,灰色，细粒结构，块状构造，主要矿物成分为长石、石英，断 面不平整；岩芯呈柱状、短柱状，节长15-23cm，RQD=83%，岩石 较硬，莫尔硬度大于5，透水性较差。,BK173,煤,,72.350,0.350,黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物 茎化石，该层煤，煤质于74.95米处标志层为界限，以上煤质较差，煤层风 氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，,BK156,细砂岩,,44.070,2.650,  灰，灰绿色，细粒砂状结构，巨厚层状构造，成分以石英、长石为主。分选中等，泥质胶结。,BK144,泥岩,,75.480,20.280,深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化 石，夹粉砂岩薄层,110,砂质泥岩,,74.700,0.170,BK119,泥岩,5煤,32.000,1.250,黑色，泥质结构。具厚层状，风化后易开裂。
BK195,含砾砂岩,上白垩统,49.000,1.200,"灰绿色，泥质结构，块状构造，断口不规则，砾多以英岩砾，火成岩砾 组成，砾径2-10mm,多呈次圆状，含量约15%左右，松软",XC03,砂质泥岩,,65.100,27.350,灰色、灰黑色，下部含炭质泥岩夹层，泥质结构，块状构造， 主要矿物成分为粘土矿物及长石、石英，岩石断口不平整，局部 含砂砾石，粒径0. 1-2cm；岩芯呈柱状、短柱状，节长10-26cm， 局部为扁柱状、块状，RQD=46%，岩体固结程度差，易风化，岩质 较软，裂隙不发育。,BK173,炭质泥岩,,72.630,0.280,黑色，块状，含丝炭，含煤线，棱角状断口，半坚硬。,BK156,泥岩,,55.350,11.280,  灰绿色、泥质结构，巨厚层状。岩质较软，内部含少量砂质。风化后易开裂。,BK144,煤,5煤,76.270,0.790,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，属暗淡型煤，其中有炭质泥岩夹矸5层，泥岩夹矸6层,110,泥岩,,75.200,0.500,BK119,煤,5煤,33.720,1.720,黑色，柱状，块状、棕褐色条痕、弱沥青光泽，以暗煤为主，亮煤次之 ，夹镜煤条带。半暗型煤，断口平坦状-阶梯状。
BK195,砂质泥岩,,57.080,8.080,深灰色，泥质结构，块状构造，砂多以细砂为主，分布不均一，断口参 差状，含炭屑及茎叶化石，夹炭质泥岩薄层。,XC03,炭质泥岩,,67.150,2.050,灰黑色，泥质结构，层状构造，主要矿物成分为粘土矿物及有 机质，有机质含量20-30%，断口不平整，局部含炭屑、炭线、植 物茎叶化石；岩芯为扁柱状、块状，局部短柱状，节长10-12cm， RQD=15%，岩体固结程度差，易风化，岩质较软，裂隙不发育。,BK173,煤,,73.130,0.500,黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物 茎化石，该层煤，煤质于74.95米处标志层为界限，以上煤质较差，煤层风 氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，,BK156,细砂岩,,56.350,1.000,  灰色，细粒砂状结构，厚层状构造，成分以石英、长石为主。分选中等，泥质胶结。,BK144,泥岩,5煤,76.550,0.280,深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化 石，夹粉砂岩薄层,110,砂质泥岩,,75.420,0.220,BK119,炭质泥岩,5煤,34.370,0.650,黑色、条带状结构、块状构造、含泥比重较大。
