BK206,填筑土,新生界第四系,31.300,31.300,  土黄色，灰色，灰黑色，松散状，主要由砂土，砂砾岩，泥岩及煤矸石堆积而成。,BK205,填筑土,,37.200,37.200,  褐黄色，可塑状态，土质不均匀，含少量砂砾石，砾石一般粒径5-50mm，最大粒径60mm。顶部含少量植物根系。,BK204,填筑土,,24.500,24.500,  土黄色，灰色，灰黑色，松散，主要由砂土，砂砾岩，泥岩及煤矸石堆积而成。,BK203,填筑土,新生界第四系,32.500,32.500,  土黄色，灰色，灰黑色，松散，主要由砂土，砂砾岩，泥岩粉砂岩及煤矸石堆积而成。,BK202,砂土,,3.000,3.000,  土黄色，松散，主要由风成砂土、坡积砂土组成，顶部富含现代植物根系，底部含砾。,BK201,砂砾石,新生界第四系,0.600,0.600,  主为黄色，土黄色，主要成分砂土，亚砂土构成，下部有大量角砾石，疏松。,BK200,砂土,新生界第四系,3.000,3.000,"  土黄色，松散，主要由风成砂土、坡积砂土组成,局部含砾。"
BK206,砂砾岩,,46.400,15.100,"  土黄色，松散，主要由石英岩砾，火成岩砾组成，砾径2-10mm,大者30mm，多呈次棱角状，分选差。",BK205,粉砂质粘土,新生界第四系,45.800,8.600,  褐黄色，可塑状态，切面较粗糙，土质不均匀，含少量砂砾石，砾石一般粒径5-50mm，最大粒径60mm。,BK204,砂土,,29.500,5.000,  土黄色，松散，主要由风成砂土，坡积砂土组成，局部含砾。,BK203,含砾泥岩,,46.500,14.000,  灰绿色，泥质结构，块状构造，断口不规则状，砾多以石英岩砾，火成岩砾为主，砾径2-10mm，大者可达30mm，多呈次圆状，分选差，含量约10%左右。,BK202,砂砾岩,新生界第四系,8.000,5.000,"  土黄色，松散，主要由石英岩砾，火成岩砾组成，砾径10-30mm,多呈次棱角状，分选差。",BK201,砂砾岩,,5.760,5.160,  杂色，砾石成分，主要分石英岩，变质岩等，分选差，次圆状，及次棱角状，最大砾径47mm，夹细砂岩薄层，松散，未胶结。,BK200,砂砾岩,,14.000,11.000,"  土黄色，松散，砾多以英岩砾，火成岩砾组成，砾径10-30mm,多呈次棱角状，分选差。"
BK206,砂质泥岩,,54.000,7.600,  灰绿色，泥质结构，块状，断口不规则状，砂多以细砂为主，分布不均一，松软易碎，局部含有少量细砾，固结程度差。,BK205,砂质泥岩,,50.200,4.400,  灰绿色，矿物成分主要为黏土矿物，含少量长石、石英等，泥质结构，块状构造，砂多以粉砂为主，分布不均，断口参差状，松软，易碎，下部夹粉砂岩薄层。,BK204,砂砾岩,新生界第四系,39.000,9.500,  土黄色，松散，主要由石英岩砾，火成岩砾组成，砾径10-20mm，大者可达50mm，多呈次棱角状，分选差。,BK203,泥岩,,53.000,6.500,  灰绿色，泥质结构，块状，断口不规则状，固结程度差，松软，局部含细砾。,BK202,砂质泥岩,,19.500,11.500,  褐黄色，泥质结构，半胶结状，砂多以细砂为主，分布不均一，断口不规则状，松软，易碎。,BK201,含砾泥岩,,15.300,9.540,  灰绿色，半胶结状，遇水泥化变软，脱水后易风化呈泥裂特征。层见少量砾石，砾石为火山岩砾，砾石呈次圆状，磨圆较差，砾径0.5-2cm。,BK200,含砾泥岩,,28.500,14.500,"  灰绿色，泥质结构，块状构造，断口不规则状，砾多以英岩砾，火成岩砾组成，砾径2-10mm,多呈次圆状，含量约15%左右，分选差，松软，易碎"
BK206,粉砂岩,上白垩统,55.330,1.330,  灰绿色，粉砂状结构，厚层状构造，泥质胶结，均匀层理，松软，易碎,BK205,泥岩,,54.800,4.600,  灰绿色，矿物成分主要为黏土矿物，泥质结构，块状构造，断口平坦状，风化易碎。,BK204,砂质泥岩,,42.000,3.000,  褐黄色，半胶结状，砂多以细砂为主，分布不均一，松软易碎。,BK203,细粒砂岩,上白垩统,55.470,2.470,  灰色，微显绿色，细粒砂状结构，厚层状构造，成分以石英为主，长石次之，胶结差，均匀层理。,BK202,含砾泥岩,,35.000,15.500,"  灰绿色，泥质结构，块状构造，砾多以石英岩砾，火成岩砾组成，砾径10-30mm,大者可达50mm,多呈次圆状，分选差，胶结差，松软，易碎。",BK201,细砂岩,,16.700,1.400,  杂色，细粒砂质结构，层状，成分石英、长石为主，次圆状，分选好，松散，胶结程度低。偶见火山岩砾。,BK200,砂质泥岩,,32.300,3.800,  灰绿色，泥质结构，块状构造，砂多以细砂为主，分布不均一，断口参差状，松软。
BK206,泥岩,,65.110,9.780,  深灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，风化易碎，固结程度差。,BK205,细粒砂岩,上白垩统,66.700,11.900,  灰绿色，矿物成分以石英、长石为主，含少量云母，钙质胶结，细粒砂状结构，厚层状构造，均匀层理。,BK204,砂砾岩,上白垩统,61.000,19.000,  灰绿色，砂多以细砂为主，砾多以石英岩砾，火成岩砾为主，砾径2-30mm，大者可达50mm，多呈次棱角状，泥质胶结，胶结差，易碎。,BK203,泥岩,,77.680,22.210,  深灰色，泥质结构，块状，断口参差状，固结程度差，局部含少量炭屑，夹粉砂岩薄层。,BK202,砂质泥岩,,40.400,5.400,  深灰色，微显绿色，泥质结构，块状构造，断口不规则状，砂多以细砂为主，分布不均一，松软，风化易碎。,BK201,泥岩,,25.800,9.100,  灰色，细腻，松软，含炭屑，参差状断口，含碳屑，含少量长石细砾，偶见黄铁矿结晶，半坚硬。,BK200,含砾泥岩,上白垩统,41.700,9.400,"  灰绿色，泥质结构，块状构造，断口不规则状，砾多以英岩砾，火成岩砾组成，砾径2-10mm,大者可达30mm,多呈次圆状，含量约15%左右，分选差，下部砾含量较低松软。"
BK206,煤,5煤,66.640,1.530,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，风化易碎，其中有泥岩夹矸4层，炭质泥岩夹矸2层。,BK205,泥岩,,71.780,5.080,  灰色，深灰色，矿物成分主要为黏土矿物，泥质结构，块状构造，断口平坦状，局部含炭化植物碎屑，风化易碎。,BK204,泥岩,,77.290,16.290,  灰色，泥质结构，块状，断口平坦，含少量炭化植物碎屑，松软，固结程度差，夹粉砂岩薄层。,BK203,煤,5煤,78.510,0.830,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，断口平坦状，呈褐色条痕，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸7层。,BK202,含砾泥岩,上白垩统,47.500,7.100,"  灰绿色，泥质结构，块状构造，断口不规则状，砾多以英岩砾，火成岩砾组成，砾径2-20mm,大者可达30mm,多呈次圆状，分选差，结构差，松软，易碎。",BK201,砾岩,,38.200,12.400,  灰色，块状，基底式胶结，泥质胶结，砾石为火山碎屑岩砾，砾石呈棱角状，磨圆差，砾径3-8mm，半坚硬。,BK200,泥岩,,57.850,16.150,  深灰色，泥质结构，块状构造，断口参差状，风化后呈碎块状，局部夹细砂岩薄层，底部含炭屑，松软。
BK206,炭质泥岩,5煤,66.860,0.220,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软,BK205,煤,5煤,72.490,0.710,  黑褐色，条带状结构，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，属暗淡型煤，其中有泥岩夹矸3层。,BK204,煤,5煤,78.240,0.950,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，断口平坦状，呈褐色条痕，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸4层，炭质泥岩夹矸1层。,BK203,泥岩,5煤,79.110,0.600,  深灰色，泥质结构，块状，断口参差状，固结程度差，局部含少量炭屑，夹粉砂岩薄层。,BK202,泥岩,,57.690,10.190,  深灰色，黑灰色，泥质结构，块状构造，断口不规则状，风化易碎，松软，局部含炭质，夹粉砂岩薄层。,BK201,泥岩,,44.700,6.500,  深灰色，细腻，松软，含炭屑，见滑面构造，参差状断口，含碳屑，含少量长石细砾，偶见黄铁矿结晶，半坚硬。,BK200,煤,5煤,58.650,0.800,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸5层，在62.10-63.10米处视为5煤夹矸标志层。
BK206,煤,5煤,67.540,0.680,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，风化易碎，其中有泥岩夹矸4层，炭质泥岩夹矸2层。,BK205,泥岩,5煤,72.850,0.360,  灰色，深灰色，矿物成分主要为黏土矿物，泥质结构，块状构造，断口平坦状，局部含炭化植物碎屑，风化易碎。,BK204,泥岩,5煤,78.510,0.270,  灰色，泥质结构，块状，断口平坦，含少量炭化植物碎屑，松软，固结程度差，夹粉砂岩薄层。,BK203,煤,5煤,79.430,0.320,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，断口平坦状，呈褐色条痕，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸7层。,BK202,煤,5煤,57.940,0.250,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸5层，炭质泥岩夹矸3层。,BK201,含砾细粒砂岩,,47.500,2.800,  灰色，块状，基底式胶结，泥质胶结，砾石为火山碎屑岩砾，砾石呈棱角状，磨圆差，砾径3-8mm，半坚硬。,BK200,泥岩,5煤,58.860,0.210,  深灰色，泥质结构，块状构造，断口参差状，风化后呈碎块状，局部夹细砂岩薄层，底部含炭屑，松软。
BK206,细粒砂岩,5煤,67.940,0.400,,BK205,煤,5煤,74.570,1.720,  黑褐色，条带状结构，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，属暗淡型煤，其中有泥岩夹矸3层。,BK204,煤,5煤,80.050,1.540,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，断口平坦状，呈褐色条痕，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸4层，炭质泥岩夹矸1层。,BK203,泥岩,5煤,79.66,0.230,  深灰色，泥质结构，块状，断口参差状，固结程度差，局部含少量炭屑，夹粉砂岩薄层。,BK202,泥岩,5煤,58.140,0.200,  深灰色，黑灰色，泥质结构，块状构造，断口不规则状，风化易碎，松软，局部含炭质，夹粉砂岩薄层。,BK201,砂质泥岩,,48.200,0.700,  深灰色，粉砂质结构，块状构造，含炭屑，参差状断口，半坚硬。,BK200,煤,5煤,59.190,0.330,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸5层，在62.10-63.10米处视为5煤夹矸标志层。
BK206,煤,5煤,68.440,0.500,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，风化易碎，其中有泥岩夹矸4层，炭质泥岩夹矸2层。,BK205,泥岩,5煤,74.930,0.360,  灰色，深灰色，矿物成分主要为黏土矿物，泥质结构，块状构造，断口平坦状，局部含炭化植物碎屑，风化易碎。,BK204,泥岩,5煤,80.290,0.240,  灰色，泥质结构，块状，断口平坦，含少量炭化植物碎屑，松软，固结程度差，夹粉砂岩薄层。,BK203,煤,5煤,80.700,1.040,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，断口平坦状，呈褐色条痕，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸7层。,BK202,煤,5煤,59.340,1.200,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸5层，炭质泥岩夹矸3层。,BK201,炭质泥岩,,51.560,3.360,  灰黑色，细腻，松软，含较多炭屑，平坦状断口，半坚硬。,BK200,炭质泥岩,5煤,59.360,0.170,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软
BK206,泥岩,5煤,68.720,0.280,  深灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，风化易碎，固结程度差。,BK205,煤,5煤,75.310,0.380,  黑褐色，条带状结构，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，属暗淡型煤，其中有泥岩夹矸3层。,BK204,煤,5煤,80.750,0.460,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，断口平坦状，呈褐色条痕，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸4层，炭质泥岩夹矸1层。,BK203,泥岩,5煤,81.150,0.450,  深灰色，泥质结构，块状，断口参差状，固结程度差，局部含少量炭屑，夹粉砂岩薄层。,BK202,泥岩,5煤,59.960,0.620,  深灰色，黑灰色，泥质结构，块状构造，断口不规则状，风化易碎，松软，局部含炭质，夹粉砂岩薄层。,BK201,泥岩,,52.910,1.350,  深灰色，层状，细腻，松软，含岩屑，局部具滑面，平坦状断口，半坚硬。,BK200,煤,5煤,59.810,0.450,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸5层，在62.10-63.10米处视为5煤夹矸标志层。
