BK215,砂土,,7.000,7.000,"土黄色，松散，主要由风成砂土、坡积砂土组成,局部含砾。",BK214,砂土,,6.600,6.600,浅黄色，松散，不饱和，主要由风成砂土、坡积砂土组成，顶部植物根 系,BK213,黄土,新生界第四系,5.000,5.000,砂质黄土：浅黄色，松散，主要由腐殖土、风成砂土组成，顶部含现代 植物根系，底部含砾,BK212,砂土,,3.000,3.000,  土黄色，松散，主要由风成砂土、坡积砂土组成，顶部为腐殖土，富含现代植物根系，底部含砾。,BK211,填筑土,新生界第四系,32.000,32.000,  土黄色，灰色，灰黑色，主要由砂土，泥岩，砂砾岩堆积而成。,BK210,填筑土,新生界第四系,42.300,42.300,土黄色，灰色，松散，主要由砂土，泥岩，粉砂岩，砂砾岩及煤矸石堆 积而成。,BK209,填筑土,新生界第四系,42.300,42.300,  土黄色，灰色，灰黑色，松散，主要以砂土，砂砾岩，泥岩及煤矸石堆积而成。,BK208,填筑土,新生界第四系,37.800,37.800,土黄色，灰色，灰黑色，主要由砂土，泥岩，砂砾岩堆积而成。,BK207,填筑土,,42.000,42.000,  土黄色，灰色，松散，主要由泥岩，细砂岩，砂砾岩堆积而成。
BK215,砂砾岩,新生界第四系,13.500,6.500,"土黄色，松散，砾多以英岩砾，火成岩砾组成，砾径10-30mm,多呈次圆 状，分选差。",BK214,砂质粘土,新生界第四系,11.300,4.700,褐黄色，可塑，切面粗糙，土质分布均匀，含砂砾石，砾径5-60mm,BK213,砂质泥岩,,17.800,12.800,"砂质泥岩:灰色泛绿,泥质结构,块状构造,砂多以粉砂为主,断口平坦状, 含砾,砾径(5mm-15mm)多呈次圆状",BK212,砂砾岩,新生界第四系,8.000,5.000,  灰绿色，泥质结构，块状构造，砂多以粉砂为主，分布不均一，断口参差状，松软，易碎，下部夹粉砂岩薄层。,BK211,含砾泥岩,上白垩统,49.000,17.000,"  灰绿色，泥质结构，块状构造，断口不规则状，砾多以英岩砾，火成岩砾组成，砾径2-10mm,大者可达30mm,多呈次圆状，分选差，砾含量约15%左右。",BK210,砂质泥岩,,55.470,13.170,褐黄色，泥质结构，半胶结状，风化易碎，夹灰白色粉砂团块。,BK209,含砾砂岩,上白垩统,60.200,17.900,"  灰绿色，泥质结构，块状构造，断口不规则，砾多以英岩砾，火成岩砾组成，砾径2-10mm,多呈次圆状，含量约15%左右，分选差。",BK208,砂砾岩,上白垩统,44.500,6.700,"灰绿色，砂多以细砂为主，砾多以英岩砾，火成岩砾组成，砾径10-30mm ,大者可达50mm,多呈次圆状，分选差，泥质胶结，胶结差，松软，易碎。",BK207,砂土,,45.950,3.950,"  土黄色，松散，主要由风成砂土、坡积砂土组成,局部含砾。"
BK215,含砾泥岩,,34.800,21.300,"灰绿色，泥质结构，块状构造，断口不规则状，砾多以英岩砾，火成岩 砾组成，砾径2-10mm,多呈次圆状，含量约20%左右，分选差，松软，易碎",BK214,砾岩,,22.530,11.230,灰绿色，泥质胶结，胶结松散，次棱角状，磨圆差，分选差，孔隙式胶 结，砾径10-60mm,BK213,含砾泥岩,,31.100,13.300,"含砾泥岩:灰色,微显绿色,泥质结构,块状,砾径(2mm-10mm)多呈次圆状, 局部岩心破碎",BK212,砂质泥岩,,10.500,2.500,  灰绿色，泥质结构，块状构造，砂多以粉砂为主，分布不均一，断口不规则状，松软，易碎，含细砾。,BK211,粉砂岩,,53.200,4.200,  灰色，粉砂状结构，厚层状，泥质胶结，均匀层理，松软，易碎。,BK210,含砾泥岩,上白垩统,61.300,5.830,"灰绿色，泥质结构，块状构造，断口参差状，砾多以石英岩砾，火成岩 砾为主，砾径2-10mm,多呈次棱角状，分选差。",BK209,泥岩,,71.400,11.200,  灰色，泥质结构，块状构造，断口不规则状，含炭屑，易碎，松软。,BK208,砂质泥岩,,55.000,10.500,灰色，泥质结构，块状，砂多以细砂为主，分布不均一，风化易碎，松 软。,BK207,砂砾岩,新生界第四系,56.300,10.350,"  土黄色，松散，砾多以英岩砾，火成岩砾组成，砾径2-10mm,大者可达30mm,多呈次棱角状，分选差。"
BK215,细粒砂岩,,51.500,16.700,灰色，细粒砂状结构，厚层状构造，成分以石英为主，长石次之，云母 少量，分选差，泥质胶结，均匀层理，胶结差，疏松，易碎。,BK214,砂质泥岩,,25.460,2.930,灰色-深灰色，块状，松软，参差状断口，含少量细砾岩，砾径3-20mm,BK213,泥岩,,49.400,18.300,"泥岩:深灰色,泥质结构,块状构造,断口参差状,含少量碳化植物碎屑,局 部含砂",BK212,泥岩,,16.400,5.900,  灰绿色，泥质结构，块状构造，断口不规则状，细腻，风化易碎。,BK211,泥岩,,70.750,17.550,  深灰色，泥质结构，块状构造，断口参差状，固结程度差，含炭屑少量，松软。,BK210,砂质泥岩,,66.000,4.700,深灰色，泥质结构，块状构造，断口不规则状，砂多以细砂为主，分布 不均一，固结程度差，松软，易碎。,BK209,粉砂岩,,74.380,2.980,  深灰色，粉砂状结构，厚层状构造，泥质胶结，均匀层理，局部泥质含量较高。,BK208,泥岩,,61.910,6.910,深灰色，黑灰色，细腻，断口参差状，含炭质，有滑感，松软。,BK207,细粒砂岩,,60.300,4.000,  褐黄色，细粒砂状结构，厚层状构造，成分以石英为主，长石次之，云母及暗色矿物少量，分选差，泥质胶结，胶结差，松软，易碎，局部含细砾。
BK215,砂砾岩,,57.000,5.500,"灰绿色，砂多以细砂为主，砾多以英岩砾，火成岩砾组成，砾径10-20mm ,多呈次棱角状，分选差，钙质胶结，致密，坚硬。",BK214,砾岩,,30.110,4.650,灰色，砾径10-50mm，泥质胶结，胶结松散，磨圆一般，分选一般，孔隙 式胶结,BK213,炭质泥岩,上白垩统,57.300,7.900,炭质泥岩:灰色，坚硬，具外生裂隙，砾径5-30mm,BK212,含砾泥岩,上白垩统,24.800,8.400,"  灰绿色，泥质结构，块状构造，断口不规则状，砾多以英岩砾，火成岩砾组成，砾径10-30mm,多呈次圆状，分选差，含量约15%左右。",BK211,煤,5煤,73.310,2.560,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸4层，炭质泥岩夹矸2层。,BK210,粉砂岩,,69.600,3.600,灰色，粉砂状结构，厚层状构造，泥质胶结，均匀层理。,BK209,泥岩,,79.250,4.870,"  灰黑色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化石，风化易碎，松软，固结程度差，局部见滑面,有擦痕。",BK208,煤,5煤,62.760,0.850,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸4层，炭 质泥岩夹矸2层。,BK207,泥岩,,61.200,0.900,  灰绿色，泥质结构，块状构造，断口不规则状，松软。
BK215,含砾泥岩,上白垩统,87.000,30.000,"灰绿色，泥质结构，块状构造，断口不规则状，砾多以英岩砾，火成岩 砾组成，砾径10-30mm,多呈次圆状，含量约20%左右，局部砾含量较高。",BK214,砂质泥岩,,36.150,6.040,"灰色-灰绿色，块状，松软，参差状断口,局部含细砾，下部半坚硬",BK213,泥岩,,58.400,0.390,"泥岩:深灰色,泥质结构,块状构造,断口参差状,含少量碳化植物碎屑,局 部含砂",BK212,粉砂岩,,28.200,3.400,  灰色，粉砂状结构，厚层状构造，断口平坦状，泥质胶结，均匀层理，含少量炭屑，局部泥质含量较高。,BK211,泥岩,5煤,73.600,0.290,  深灰色，泥质结构，块状构造，断口参差状，固结程度差，含炭屑少量，松软。,BK210,泥岩,,71.410,1.810,深灰色，泥质结构，块状构造，断口不参差状，合炭化植物碎屑及茎叶 化石，风化易碎，松软。,BK209,煤,5煤,80.150,0.900,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，易碎，属暗淡型煤。,BK208,泥岩,5煤,63.030,0.270,深灰色，黑灰色，细腻，断口参差状，含炭质，有滑感，松软。,BK207,粉砂岩,上白垩统,69.320,8.120,  灰绿色，粉砂状结构，厚层状构造，泥质胶结，均匀层理，松软，易碎  
BK215,泥岩,,104.000,17.000,灰色，黑灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及 茎叶化石，局部含炭质，松软。,BK214,泥岩,,48.250,12.100,灰色-灰绿色，块状，松软，参差状断口，局部见滑面，局部含砾，砾径 8-30mm,BK213,煤,,59.250,0.850,"煤:黑褐色,块状,暗煤为主,丝碳次之,夹亮煤条带,暗淡光泽,呈褐色条痕 ,断口平坦状,垂直节理发育,属暗淡型煤",BK212,泥岩,,44.560,16.360,  深灰色，泥质结构，块状构造，断口参差状，松软，风化易碎，含少量炭屑，夹炭质泥岩薄层。,BK211,煤,5煤,74.200,0.600,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸4层，炭质泥岩夹矸2层。,BK210,煤,,71.710,0.300,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸3层， 炭质泥岩夹矸2层。,BK209,泥岩,5煤,80.530,0.380,"  灰黑色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化石，风化易碎，松软，固结程度差，局部见滑面,有擦痕。",BK208,煤,5煤,63.800,0.770,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸4层，炭 质泥岩夹矸2层。,BK207,细粒砂岩,,70.000,0.680,浅灰色，细粒砂状结构，厚层状构造，成分以石英为主，长石次之，云母及暗色矿物少量，分选差，泥质胶结，均匀层理，松软。
BK215,砂砾岩,,109.000,5.000,"灰白色，砂质砾状结构，砂多以细砂为主，砾多以英岩砾，火成岩砾组 成，砾径2-20mm,多呈次棱角状，分选差，钙质胶结，致密，坚硬",BK214,粉砂岩,,50.150,1.900,灰绿色，块状，松软，平坦状断口,BK213,泥岩,,59.500,0.250,"泥岩:深灰色,泥质结构,块状构造,断口参差状,含少量碳化植物碎屑,局 部含砂",BK212,煤,5煤,44.860,0.300,  黑褐色，条带状结构，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，属暗淡型煤，其中有炭质泥岩夹矸3层，泥岩夹矸8层。,BK211,泥岩,5煤,74.560,0.360,  深灰色，泥质结构，块状构造，断口参差状，固结程度差，含炭屑少量，松软。,BK210,泥岩,,75.280,3.570,深灰色，泥质结构，块状构造，断口不参差状，合炭化植物碎屑及茎叶 化石，风化易碎，松软。,BK209,煤,5煤,81.290,0.760,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，易碎，属暗淡型煤。,BK208,泥岩,5煤,63.970,0.170,深灰色，黑灰色，细腻，断口参差状，含炭质，有滑感，松软。,BK207,泥岩,,70.290,0.290,  黑灰色，泥质结构，块状构造，断口不规则状，含少量炭屑，松软。
BK215,粉砂岩,,123.000,14.000,灰色，粉砂状结构，厚层状构造，泥质胶结，均匀层理，含少量炭屑， 断口平坦状，松软。,BK214,泥岩,上白垩统,61.030,10.880,灰白-灰绿色，块状，上部松软，下部半坚硬，断口平坦，局部含少量砾 石,BK213,炭质泥岩,,59.790,0.290,炭质泥岩:灰色，坚硬，具外生裂隙，砾径5-30mm,BK212,炭质泥岩,5煤,45.040,0.180,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软,BK211,煤,5煤,74.880,0.320,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸4层，炭质泥岩夹矸2层。,BK210,煤,,75.540,0.260,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸3层， 炭质泥岩夹矸2层。,BK209,炭质泥岩,5煤,81.470,0.180,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软,BK208,煤,5煤,64.310,0.340,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸4层，炭 质泥岩夹矸2层。,BK207,煤,5煤,71.720,1.430,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。
BK215,泥岩,,152.000,29.000,深灰色，泥质结构，块状构造，断口平坦状，风化后呈碎块状，夹粉砂 岩薄层，松软,BK214,粉砂岩,,62.130,1.100,灰白色，平坦状断口，半坚硬,BK213,泥岩,,60.060,0.270,"泥岩:深灰色,泥质结构,块状构造,断口参差状,含少量碳化植物碎屑,局 部含砂",BK212,煤,5煤,45.350,0.310,  黑褐色，条带状结构，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，属暗淡型煤，其中有炭质泥岩夹矸3层，泥岩夹矸8层。,BK211,泥岩,5煤,75.210,0.330,  深灰色，泥质结构，块状构造，断口参差状，固结程度差，含炭屑少量，松软。,BK210,泥岩,,84.810,9.270,深灰色，泥质结构，块状构造，断口不参差状，合炭化植物碎屑及茎叶 化石，风化易碎，松软。,BK209,煤,5煤,81.800,0.330,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，易碎，属暗淡型煤。,BK208,炭质泥岩,5煤,64.490,0.180,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软,BK207,泥岩,,76.300,4.580,  深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化石，松软。
BK215,细粒砂岩,,157.000,5.000,灰白色，细粒砂状结构，厚层状构造，成分以石英为主，长石次之，云 母及暗色矿物少量，分选差，泥质胶结，均匀层理，半坚硬。,BK214,砾岩,,64.030,1.900,灰白色，泥质胶结，孔隙式胶结，分选差，磨圆较好，次圆状，砾径5-3 0mm，胶结松散,BK213,煤,,60.400,0.340,"煤:黑褐色,块状,暗煤为主,丝碳次之,夹亮煤条带,暗淡光泽,呈褐色条痕 ,断口平坦状,垂直节理发育,属暗淡型煤",BK212,泥岩,5煤,46.500,1.150,  深灰色，泥质结构，块状构造，断口参差状，松软，风化易碎，含少量炭屑，夹炭质泥岩薄层。,BK211,煤,5煤,76.350,1.140,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸4层，炭质泥岩夹矸2层。,BK210,煤,5煤,85.610,0.800,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，风化易碎，污手，属暗淡型煤，其中有泥岩夹矸3层， 炭质泥岩夹矸2层。,BK209,炭质泥岩,5煤,82.000,0.200,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软,BK208,煤,5煤,64.970,0.480,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色 条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸4层，炭 质泥岩夹矸2层。,BK207,粉砂岩,,79.000,2.700,  灰绿色，粉砂状结构，厚层状构造，泥质胶结，均匀层理，半坚硬。
