8-3,ДжСЃЩАбв,аТЩњНчЕкЫФЯЕ,7.300,7.300,BK003,5УК,5УК,0.750,0.750,8-1,ЩАЭС,аТЩњНчЕкЫФЯЕ,7.000,7.000
8-3,ЬПжЪФрбв,,27.710,20.410,BK003,Фрбв,5УК,3.040,2.290,8-1,Фрбв,,8.300,1.300
8-3,ЯИРљбв,,58.370,30.660,BK003,5УК,5УК,3.540,0.500,8-1,жаРљбв,,8.800,0.500
8-3,Фрбв,,66.510,8.140,BK003,Фрбв,5УК,3.840,0.300,8-1,Фрбв,,30.170,21.370
8-3,5УК,5УК,68.770,2.260,BK003,5УК,5УК,4.610,0.770,8-1,ДжСЃЩАбв,,34.430,4.260
8-3,Фрбв,5УК,70.780,2.010,BK003,Фрбв,5УК,5.960,1.350,8-1,Фрбв,,45.900,11.470
8-3,5УК,5УК,72.130,1.350,BK003,5УК,5УК,6.400,0.440,8-1,5УК,5УК,46.890,0.990
8-3,Фрбв,5УК,72.430,0.300,BK003,Фрбв,5УК,6.700,0.300,8-1,Фрбв,5УК,47.990,1.100
8-3,5УК,5УК,74.830,2.400,BK003,5УК,5УК,8.940,2.240,8-1,5УК,5УК,48.590,0.600
8-3,Фрбв,5УК,75.220,0.390,BK003,Фрбв,5УК,10.000,1.060,8-1,Фрбв,5УК,49.190,0.600
8-3,5УК,5УК,75.920,0.700,BK003,5УК,5УК,11.160,1.160,8-1,5УК,5УК,50.740,1.550
8-3,Фрбв,5УК,77.790,1.870,BK003,КЌЬПФрбв,5УК,11.720,0.560,8-1,Фрбв,5УК,51.040,0.300
8-3,5УК,5УК,78.590,0.800,BK003,5УК,5УК,13.280,1.560,8-1,5УК,5УК,52.040,1.000
8-3,Фрбв,5УК,78.790,0.200,BK003,Фрбв,5УК,14.200,0.920,8-1,Фрбв,5УК,52.640,0.600
8-3,5УК,5УК,79.940,1.150,BK003,5УК,5УК,14.890,0.690,8-1,5УК,5УК,53.090,0.450
8-3,Фрбв,5УК,81.490,1.550,BK003,Фрбв,5УК,15.220,0.330,8-1,Фрбв,5УК,53.390,0.300
8-3,5УК,5УК,81.890,0.400,BK003,5УК,5УК,15.600,0.380,8-1,5УК,5УК,54.370,0.980
8-3,Фрбв,5УК,82.190,0.300,BK003,Фрбв,5УК,15.870,0.270,8-1,Фрбв,5УК,55.320,0.950
8-3,5УК,5УК,83.390,1.200,BK003,5УК,5УК,18.190,2.320,8-1,5УК,5УК,56.080,0.760
8-3,Фрбв,5УК,83.490,0.100,BK003,ЬПжЪФрбв,5УК,18.430,0.240,8-1,Фрбв,5УК,56.280,0.200
