705,中粒砂岩,新生界第四系,5.000,5.000,11-2,砂土,新生界第四系,5.700,5.700,11-1,中粒砂岩,新生界第四系,9.700,9.700,BK013,泥岩,新生界第四系,2.800,2.800,BK012,砂土,新生界第四系,2.400,2.400,BK011,砂质粘土,,4.000,4.000
705,泥岩,,16.500,11.500,11-2,含砾粗粒砂岩,,9.300,3.600,11-1,泥岩,,33.830,24.130,BK013,细粒砂岩,,4.890,2.090,BK012,粗粒砂岩,,3.900,1.500,BK011,砂土,,5.000,1.000
705,粉砂岩,,16.800,0.300,11-2,砂质泥岩,,20.080,10.780,11-1,煤,,34.030,0.200,BK013,粗粒砂岩,上砾岩段,18.580,13.690,BK012,砂砾岩,,40.390,36.490,BK011,泥质粉砂岩,新生界第四系,17.220,12.220
705,泥岩,,20.500,3.700,11-2,含砾粗粒砂岩,,28.130,8.050,11-1,泥岩,,38.270,4.240,BK013,泥岩,,34.840,16.260,BK012,泥岩,,58.710,18.320,BK011,砾岩,,28.590,11.370
705,粉砂岩,,21.150,0.650,11-2,中粒砂岩,,36.130,8.000,11-1,5煤,5煤,38.470,0.200,BK013,5煤,5煤,35.230,0.390,BK012,砂砾岩,,60.160,1.450,BK011,细粒砂岩,,36.280,7.690
705,泥岩,,21.850,0.700,11-2,砂质泥岩,,40.130,4.000,11-1,泥岩,5煤,38.970,0.500,BK013,含炭泥岩,5煤,35.460,0.230,BK012,粉砂质泥岩,上砾岩段,68.080,7.920,BK011,泥岩,,40.930,4.650
705,细粒砂岩,,23.900,2.050,11-2,泥岩,,45.850,5.720,11-1,5煤,5煤,41.620,2.650,BK013,5煤,5煤,36.030,0.570,BK012,含炭泥岩,,69.460,1.380,BK011,砾岩,,44.830,3.900
705,泥岩,,25.500,1.600,11-2,5煤,5煤,48.350,2.500,11-1,泥岩,5煤,41.920,0.300,BK013,含炭泥岩,5煤,36.700,0.670,BK012,5煤,5煤,70.340,0.880,BK011,含砾泥岩,,65.950,21.120
705,细粒砂岩,,27.700,2.200,11-2,泥岩,5煤,48.650,0.300,11-1,5煤,5煤,43.520,1.600,BK013,5煤,5煤,37.560,0.860,BK012,泥岩,5煤,70.700,0.360,BK011,泥岩,,68.500,2.550
705,泥岩,,32.850,5.150,11-2,5煤,5煤,48.950,0.300,11-1,泥岩,5煤,44.220,0.700,BK013,炭质泥岩,5煤,37.740,0.180,BK012,5煤,5煤,72.070,1.370,BK011,含砾泥岩,上砾岩段,75.310,6.810
705,5煤,5煤,33.300,0.450,11-2,泥岩,5煤,49.250,0.300,11-1,5煤,5煤,44.470,0.250,BK013,5煤,5煤,38.050,0.310,BK012,炭质泥岩,5煤,72.310,0.240,BK011,粉砂质泥岩,,81.640,6.330
705,泥岩,5煤,33.680,0.380,11-2,5煤,5煤,51.250,2.000,11-1,泥岩,5煤,44.670,0.200,BK013,含炭泥岩,5煤,38.230,0.180,BK012,5煤,5煤,72.850,0.540,BK011,5煤,5煤,82.720,1.080
705,5煤,5煤,34.210,0.530,11-2,泥岩,5煤,51.400,0.150,11-1,5煤,5煤,52.150,7.480,BK013,5煤,5煤,38.970,0.740,BK012,泥岩,5煤,73.090,0.240,BK011,含炭泥岩,5煤,83.170,0.450
705,泥岩,5煤,34.410,0.200,11-2,5煤,5煤,64.620,13.220,11-1,泥岩,5煤,52.350,0.200,BK013,泥岩,5煤,39.190,0.220,BK012,5煤,5煤,73.420,0.330,BK011,5煤,5煤,83.850,0.680
705,5煤,5煤,35.070,0.660,11-2,泥岩,,72.770,8.150,11-1,5煤,5煤,58.190,5.840,BK013,5煤,5煤,40.040,0.850,BK012,泥岩,5煤,73.770,0.350,BK011,炭质泥岩,5煤,84.110,0.260
705,泥岩,5煤,35.570,0.500,11-2,细粒砂岩,,78.930,6.160,11-1,细粒砂岩,,68.380,10.190,BK013,含炭泥岩,5煤,40.650,0.610,BK012,5煤,5煤,74.560,0.790,BK011,5煤,5煤,86.470,2.360
