12-4,粗粒砂岩,新生界第四系,7.650,7.650,12-6,粗粒砂岩,新生界第四系,19.810,19.810,BK014,表土和积土层,新生界第四系,9.980,9.980,12-1,粉砂岩,,2.100,2.100,12-2,砂土,,8.130,8.130,12-7,砂土,新生界第四系,6.900,6.900,740,砂土,新生界第四系,5.500,5.500,12-3,砂土,新生界第四系,8.300,8.300,700,中粒砂岩,,6.500,6.500
12-4,含砾粗粒砂岩,,44.760,37.110,12-6,细砾岩,,53.810,34.000,BK014,泥岩,,31.130,21.150,12-1,中粒砂岩,新生界第四系,4.100,2.000,12-2,中粒砂岩,新生界第四系,12.130,4.000,12-7,中砾岩,,29.810,22.910,740,中粒砂岩,,64.150,58.650,12-3,粗粒砂岩,,18.820,10.520,700,泥岩,新生界第四系,8.000,1.500
12-4,中砾岩,,50.850,6.090,12-6,含砾粗粒砂岩,,60.240,6.430,BK014,细砾岩,上砾岩段,58.350,27.220,12-1,泥岩,,9.340,5.240,12-2,细砾岩,,42.670,30.540,12-7,含砾粗粒砂岩,,42.150,12.340,740,泥岩,,69.800,5.650,12-3,泥岩,,31.620,12.800,700,粗粒砂岩,,22.000,14.000
12-4,泥岩,,75.570,24.720,12-6,含砂泥岩,,74.680,14.440,BK014,泥岩,,78.700,20.350,12-1,细砾岩,,12.190,2.850,12-2,砂质泥岩,,48.020,5.350,12-7,砂质泥岩,,44.450,2.300,740,中粒砂岩,,80.550,10.750,12-3,细粒砂岩,,32.620,1.000,700,泥岩,,33.500,11.500
12-4,5煤,5煤,76.070,0.500,12-6,5煤,5煤,75.080,0.400,BK014,5煤,5煤,79.470,0.770,12-1,细粒砂岩,,14.520,2.330,12-2,中砾岩,,51.430,3.410,12-7,5煤,5煤,47.450,3.000,740,泥岩,,92.490,11.940,12-3,泥岩,,41.630,9.010,700,粉砂岩,,38.500,5.000
12-4,泥岩,5煤,76.320,0.250,12-6,泥岩,5煤,85.620,10.540,BK014,含炭泥岩,5煤,79.670,0.200,12-1,细砾岩,,67.620,53.100,12-2,泥岩,,51.730,0.300,12-7,泥岩,5煤,48.150,0.700,740,5下煤,5下煤,92.690,0.200,12-3,5煤,5煤,42.540,0.910,700,泥岩,,45.150,6.650
12-4,5煤,5煤,77.620,1.300,12-6,5煤,5煤,88.320,2.700,BK014,5煤,5煤,79.980,0.310,12-1,砂质泥岩,,74.390,6.770,12-2,5煤,5煤,53.180,1.450,12-7,5煤,5煤,49.700,1.550,740,炭质泥岩,5下煤,92.910,0.220,12-3,泥岩,5煤,42.840,0.300,700,5煤,5煤,45.570,0.420
12-4,泥岩,5煤,78.170,0.550,12-6,泥岩,5煤,88.570,0.250,BK014,炭质泥岩,5煤,80.150,0.170,12-1,中砾岩,,74.890,0.500,12-2,泥岩,5煤,53.430,0.250,12-7,泥岩,5煤,50.100,0.400,740,5下煤,5下煤,93.560,0.650,12-3,5煤,5煤,45.340,2.500,700,泥岩,5煤,45.980,0.410
12-4,5煤,5煤,78.370,0.200,12-6,5煤,5煤,91.320,2.750,BK014,5煤,5煤,81.330,1.180,12-1,泥岩,,76.490,1.600,12-2,5煤,5煤,53.630,0.200,12-7,5煤,5煤,61.160,11.060,740,泥岩,5下煤,93.650,0.090,12-3,泥岩,5煤,45.690,0.350,700,5煤,5煤,46.080,0.100
12-4,泥岩,5煤,78.800,0.430,12-6,泥岩,5煤,91.520,0.200,BK014,含炭泥岩,5煤,81.530,0.200,12-1,5煤,5煤,77.390,0.900,12-2,泥岩,5煤,54.080,0.450,12-7,泥岩,5煤,61.460,0.300,740,5下煤,5下煤,93.970,0.320,12-3,5煤,5煤,47.200,1.510,700,泥岩,5煤,46.160,0.080
12-4,5煤,5煤,78.950,0.150,12-6,5煤,5煤,95.350,3.830,BK014,5煤,5煤,82.300,0.770,12-1,泥岩,5煤,77.540,0.150,12-2,5煤,5煤,55.480,1.400,12-7,5煤,5煤,62.920,1.460,740,粉砂岩,,95.370,1.400,12-3,泥岩,5煤,47.900,0.700,700,5煤,5煤,46.940,0.780
