drill_name,coord_x,coord_y,elevation
109,418570.76,4872915.83,1025.68
110,418022.45,4873736.69,1039.27
236,418251.56,4871912.64,1028.36
237,417821.46,4872593.48,1038.98
243,418937.47,4872374.37,1018.58
419,418713.89,4872705.95,1028.32
BK111,419135.54,4872561.17,987.55
BK112,419055.81,4872688.8,987.94
BK113,418961.18,4872863.42,988.76
BK114,418834.9,4873004.32,988.51
BK115,418729.03,4873174.03,989.76
BK116,418629.25,4873346.07,992.72
BK117,418505.35,4873536.71,997.28
BK118,418401.49,4873679.49,988.61
BK119,418313.96,4873853.59,988.79
BK120,418166.76,4874000.65,1006.28
BK121,418056.69,4874166.97,1020.64
BK122,417953.71,4874330.95,1021.43
BK123,417846.43,4874507.37,1004.94
BK128,417725.62,4874170.32,1048.81
BK129,417840.35,4874025.48,1035.78
BK130,417951.02,4873855.75,1026.84
BK131,418170.75,4873523.37,1024
BK132,418285.46,4873355.01,1031.46
BK133,418384.41,4873183.98,1025.42
BK134,418494.58,4873014.04,1023.34
BK135,418799.26,4872524.75,1027.64
BK136,418757.48,4872302.21,1020.47
BK137,418653.56,4872434.28,1024.32
BK138,418543.73,4872595.7,1028.97
BK139,418443.96,4872747.74,1032.82
BK140,418336.83,4872909.37,1015.55
BK141,418226.11,4873074.87,1025.83
BK142,418109.99,4873246.75,1032.47
BK143,417998.94,4873408.69,1040.68
BK144,417900.48,4873573.5,1036.88
BK145,417776.38,4873719.92,1034.69
BK146,417676.29,4873907.24,1043.39
BK147,417561.87,4874081.56,1051.35
BK148,417439.95,4874248.38,1056.31
BK152,417285.64,4874136.96,1061.84
BK153,417407.56,4873969.22,1049.81
BK154,417497.66,4873795.18,1048.26
BK155,417610.89,4873630.06,1040.37
BK156,417725.35,4873468.4,1045.07
BK157,417835.19,4873298.35,1041.26
BK158,417946.35,4873135.27,1037.72
BK159,418060.99,4872963.3,1029.78
BK160,418167.56,4872799.61,1036.92
BK161,418281.29,4872635.15,1034.6
BK162,418376.95,4872487.63,1030.9
BK163,418487.78,4872327.59,1024.27
BK164,418600.14,4872173.93,1023.31
BK165,418424.94,4872028.11,1025.56
BK166,418315.93,4872212.87,1027.96
BK167,418210.11,4872373.86,1027.46
BK168,418115.1,4872521.6,1035.1
BK169,418002.86,4872687.3,1039.12
BK170,417890.44,4872856.36,1033.73
BK171,417777,4873021.15,1042.03
BK172,417673.48,4873182.61,1044.77
BK173,417554.51,4873358.93,1044.45
BK174,417451.49,4873514.59,1048.91
BK175,417343.51,4873693.34,1047.09
BK176,417242.44,4873859.13,1054.43
BK177,417117.04,4874017.35,1062.36
BK179,417175.7,4873569.37,1055.21
BK180,417281.64,4873399.12,1051.28
BK181,417505.17,4873075.08,1047.89
BK182,417611.66,4872908.76,1040.95
BK183,417733.32,4872738.16,1042.47
BK184,417947.18,4872410.63,1030.72
BK185,418041.76,4872265.65,1031.55
BK186,418135.54,4872103.01,1030.02
BK187,418088.83,4871838.1,1040.87
BK188,417971.03,4871992.4,1048.34
BK189,417871.95,4872147.37,1041.5
BK190,417777.79,4872304.39,1035.38
BK191,417669.32,4872451.92,1036.44
BK192,417567.1,4872636.61,1044.15
BK193,417451.74,4872794.57,1046.9
BK194,417333.81,4872964.37,1044.82
BK195,417220.01,4873128.54,1050.61
BK196,417107.38,4873295.28,1052.56
BK197,417009.11,4873465.5,1057.43
BK198,416800.77,4873805.94,1061
BK200,417276.22,4872689.58,1050.6
BK201,417406.4,4872510.66,1047.09
BK202,417500.75,4872354.6,1043.98
BK203,417610.67,4872164.1,1065.53
BK204,417710.24,4872047.45,1062.16
BK205,417809.34,4871901.55,1067.24
BK206,417918.47,4871740.09,1068.92
XC03,417413.51,4873252.79,1049.55
XC04,416984.11,4873931.57,1066.82
XC08,417618.73,4874354.93,1046.48
